name,run_vus,nopm,tpm,build_seconds,shared_buffers_gb,tmpfs_gib,delta_nopm_pct,error,settings,elapsed_wall_s
A_baseline,32,1126050,2587848,190.3,62,125,-0.44,,shared_buffers=62GB effective_cache_size=188GB max_connections=400 max_parallel_workers=32 max_worker_processes=32 max_parallel_workers_per_gather=2 synchronous_commit=off wal_buffers=64MB max_wal_size=8GB min_wal_size=1GB checkpoint_completion_target=0.9 random_page_cost=1.1 effective_io_concurrency=128 maintenance_work_mem=1GB listen_addresses=*,691.1
B_host_tune_tmpfs,32,1146102,2631200,157.4,62,125,1.33,,shared_buffers=62GB effective_cache_size=188GB work_mem=64MB maintenance_work_mem=8GB autovacuum_work_mem=2GB max_connections=400 max_worker_processes=41 max_parallel_workers=32 max_parallel_workers_per_gather=2 max_parallel_maintenance_workers=4 autovacuum_max_workers=5 io_method=io_uring huge_pages=try synchronous_commit=off wal_buffers=64MB wal_compression=lz4 max_wal_size=16GB min_wal_size=2GB checkpoint_completion_target=0.9 checkpoint_timeout=15min random_page_cost=1.0 effective_io_concurrency=1000 maintenance_io_concurrency=500 jit=off listen_addresses=*,663.5
C_sb8,32,1134364,2609417,160.3,8,125,0.3,,max_connections=400 max_parallel_workers=32 max_worker_processes=32 max_parallel_workers_per_gather=2 synchronous_commit=off wal_buffers=64MB max_wal_size=8GB min_wal_size=1GB checkpoint_completion_target=0.9 random_page_cost=1.1 effective_io_concurrency=128 maintenance_work_mem=1GB listen_addresses=* shared_buffers=8GB effective_cache_size=188GB,656.1
C_sb16,32,1143964,2631570,179.1,16,125,1.14,,max_connections=400 max_parallel_workers=32 max_worker_processes=32 max_parallel_workers_per_gather=2 synchronous_commit=off wal_buffers=64MB max_wal_size=8GB min_wal_size=1GB checkpoint_completion_target=0.9 random_page_cost=1.1 effective_io_concurrency=128 maintenance_work_mem=1GB listen_addresses=* shared_buffers=16GB effective_cache_size=188GB,674.0
C_sb24,32,1150653,2644212,189.4,24,125,1.74,,max_connections=400 max_parallel_workers=32 max_worker_processes=32 max_parallel_workers_per_gather=2 synchronous_commit=off wal_buffers=64MB max_wal_size=8GB min_wal_size=1GB checkpoint_completion_target=0.9 random_page_cost=1.1 effective_io_concurrency=128 maintenance_work_mem=1GB listen_addresses=* shared_buffers=24GB effective_cache_size=188GB,686.6
C_sb32,32,1141240,2623459,158.9,32,125,0.9,,max_connections=400 max_parallel_workers=32 max_worker_processes=32 max_parallel_workers_per_gather=2 synchronous_commit=off wal_buffers=64MB max_wal_size=8GB min_wal_size=1GB checkpoint_completion_target=0.9 random_page_cost=1.1 effective_io_concurrency=128 maintenance_work_mem=1GB listen_addresses=* shared_buffers=32GB effective_cache_size=188GB,661.4
C_sb48,32,1130669,2600371,159.1,48,125,-0.03,,max_connections=400 max_parallel_workers=32 max_worker_processes=32 max_parallel_workers_per_gather=2 synchronous_commit=off wal_buffers=64MB max_wal_size=8GB min_wal_size=1GB checkpoint_completion_target=0.9 random_page_cost=1.1 effective_io_concurrency=128 maintenance_work_mem=1GB listen_addresses=* shared_buffers=48GB effective_cache_size=188GB,658.4
D_sb16_io_uring,32,1222440,2810612,161.1,16,125,8.08,,max_connections=400 max_parallel_workers=32 max_worker_processes=32 max_parallel_workers_per_gather=2 synchronous_commit=off wal_buffers=64MB checkpoint_completion_target=0.9 maintenance_work_mem=1GB listen_addresses=* shared_buffers=16GB effective_cache_size=188GB io_method=io_uring random_page_cost=1.0 effective_io_concurrency=1000 jit=off wal_compression=lz4 max_wal_size=16GB min_wal_size=2GB,669.7
D_sb16_worker,32,1185027,2725361,180.7,16,125,4.77,,max_connections=400 max_parallel_workers=32 max_worker_processes=32 max_parallel_workers_per_gather=2 synchronous_commit=off wal_buffers=64MB checkpoint_completion_target=0.9 maintenance_work_mem=1GB listen_addresses=* shared_buffers=16GB effective_cache_size=188GB io_method=worker random_page_cost=1.0 effective_io_concurrency=1000 jit=off wal_compression=lz4 max_wal_size=16GB min_wal_size=2GB io_workers=8,683.2
D_sb62_io_uring,32,1193686,2745178,165.7,62,125,5.54,,max_connections=400 max_parallel_workers=32 max_worker_processes=32 max_parallel_workers_per_gather=2 synchronous_commit=off wal_buffers=64MB checkpoint_completion_target=0.9 maintenance_work_mem=1GB listen_addresses=* shared_buffers=62GB effective_cache_size=188GB io_method=io_uring random_page_cost=1.0 effective_io_concurrency=1000 jit=off wal_compression=lz4 max_wal_size=16GB min_wal_size=2GB,679.8
