run_id,hostname,timestamp_utc,ncpus,mem_gib,workload,run_vus,terminals,warehouses_equiv,wh_per_vu,scalefactor,sf_per_vu,expected_schema_gib,units_per_vu_min,sf_covers_vu_min,shared_buffers_gb,effective_cache_size_gb,synchronous_commit,pg_data_storage,pg_tmpfs_size_gib,rampup_min,duration_min,pg_image,benchbase_image,load_seconds,db_size_bytes,db_size_pretty,db_size_gib,run_seconds,tps,tpm,tpm_per_vu,tpm_per_core,goodput_tps,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_avg_ms,raw_load_log,raw_db_size,raw_run_log,raw_config,raw_summary,error
20260717T093933Z_sc-runner_bb,sc-runner,2026-07-17T09:39:33.955020+00:00,16,125.8,wikipedia,4,4,20,5,13,3.25,1.9244,5,False,31,94,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,50.8,2787940031,2659 MB,2.5965,427.6,5968.04,358083,89520.8,89520.8,8420.21,0.545,1.34,1.916,0.669,,,,,,
20260717T093933Z_sc-runner_bb,sc-runner,2026-07-17T09:47:43.360012+00:00,16,125.8,wikipedia,8,8,40,5,26,3.25,3.8488,5,False,31,94,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,157.4,5870859967,5599 MB,5.4677,428.5,8611.93,516716,64589.5,64589.5,12347.01,0.757,1.557,1.97,0.928,,,,,,
20260717T093933Z_sc-runner_bb,sc-runner,2026-07-17T09:57:35.361067+00:00,16,125.8,wikipedia,16,16,80,5,51,3.19,7.5495,5,False,31,94,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,264.9,11351103167,11 GB,10.5715,435.2,12752.33,765140,47821.2,47821.2,17871.28,1.109,1.93,2.819,1.253,,,,,,
20260717T093933Z_sc-runner_bb,sc-runner,2026-07-17T10:09:25.068176+00:00,16,125.8,wikipedia,32,32,160,5,103,3.22,15.2471,5,False,31,94,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,547.3,23563826879,22 GB,21.9455,436.3,7781.73,466904,14590.8,14590.8,10670.13,3.899,6.987,9.362,4.111,,,,,,
20260717T093933Z_sc-runner_bb,sc-runner,2026-07-17T10:26:00.171728+00:00,16,125.8,wikipedia,64,64,320,5,205,3.2,30.3461,5,False,31,94,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,1195.3,47989044927,45 GB,44.6933,440.0,4207.02,252421,3944.1,3944.1,5131.43,14.542,22.614,32.676,15.208,,,,,,
20260717T093933Z_sc-runner_bb,sc-runner,2026-07-17T10:53:28.371132+00:00,16,125.8,ycsb,4,4,20,5,1676,419.0,1.9004,5,True,31,94,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,31.6,2035324607,1941 MB,1.8955,447.7,43292.44,2597546,649386.5,649386.5,59372.22,0.091,0.105,0.115,0.091,,,,,,
20260717T093933Z_sc-runner_bb,sc-runner,2026-07-17T11:01:38.142640+00:00,16,125.8,ycsb,8,8,40,5,3351,418.88,3.7998,5,True,31,94,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,70.1,4062533311,3874 MB,3.7835,461.1,63777.93,3826676,478334.5,478334.5,90864.27,0.095,0.119,0.146,0.124,,,,,,
20260717T093933Z_sc-runner_bb,sc-runner,2026-07-17T11:10:36.274632+00:00,16,125.8,ycsb,16,16,80,5,6702,418.88,7.5995,5,True,31,94,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,153.4,8117049023,7741 MB,7.5596,478.4,76807.66,4608459,288028.7,288028.7,101658.23,0.132,0.22,0.322,0.207,,,,,,
20260717T093933Z_sc-runner_bb,sc-runner,2026-07-17T11:21:16.115922+00:00,16,125.8,ycsb,32,32,160,5,13405,418.91,15.2002,5,True,31,94,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,433.1,16227653311,15 GB,15.1132,462.9,38537.76,2312266,72258.3,72258.3,50230.86,0.21,0.46,1.316,0.828,,,,,,
20260717T093933Z_sc-runner_bb,sc-runner,2026-07-17T11:36:22.330323+00:00,16,125.8,ycsb,64,64,320,5,26810,418.91,30.4004,5,True,31,94,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,903.7,32446232255,30 GB,30.2179,476.4,29353.87,1761232,27519.2,27519.2,37871.08,0.174,0.722,10.999,2.176,,,,,,
