run_id,hostname,timestamp_utc,ncpus,mem_gib,workload,run_vus,terminals,warehouses_equiv,wh_per_vu,scalefactor,sf_per_vu,expected_schema_gib,units_per_vu_min,sf_covers_vu_min,shared_buffers_gb,effective_cache_size_gb,synchronous_commit,pg_data_storage,pg_tmpfs_size_gib,rampup_min,duration_min,pg_image,benchbase_image,load_seconds,db_size_bytes,db_size_pretty,db_size_gib,run_seconds,tps,tpm,tpm_per_vu,tpm_per_core,goodput_tps,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_avg_ms,raw_load_log,raw_db_size,raw_run_log,raw_config,raw_summary,error
20260717T153252Z_sc-runner_bb,sc-runner,2026-07-17T15:32:52.552848+00:00,32,251.7,wikipedia,4,4,20,5,13,3.25,1.9244,5,False,62,188,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,55.3,2995844799,2857 MB,2.7901,427.1,6221.4,373284,93321.0,93321.0,8587.07,0.544,1.322,1.938,0.642,,,,,,
20260717T153252Z_sc-runner_bb,sc-runner,2026-07-17T15:41:06.047721+00:00,32,251.7,wikipedia,8,8,40,5,26,3.25,3.8488,5,False,62,188,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,102.5,5572679359,5315 MB,5.19,428.8,7707.2,462432,57804.0,57804.0,11314.63,0.757,1.56,1.995,1.037,,,,,,
20260717T153252Z_sc-runner_bb,sc-runner,2026-07-17T15:50:05.401248+00:00,32,251.7,wikipedia,16,16,80,5,51,3.19,7.5495,5,False,62,188,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,252.4,11557689023,11 GB,10.7639,431.3,12092.68,725561,45347.6,45347.6,15792.67,1.164,2.023,2.866,1.322,,,,,,
20260717T153252Z_sc-runner_bb,sc-runner,2026-07-17T16:01:41.239835+00:00,32,251.7,wikipedia,32,32,160,5,103,3.22,15.2471,5,False,62,188,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,559.3,22229333695,21 GB,20.7027,433.9,13822.03,829322,25916.3,25916.3,19248.33,1.931,2.793,4.046,2.314,,,,,,
20260717T153252Z_sc-runner_bb,sc-runner,2026-07-17T16:18:26.676728+00:00,32,251.7,wikipedia,64,64,320,5,205,3.2,30.3461,5,False,62,188,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,1055.8,47149430463,44 GB,43.9113,430.7,7976.4,478584,7477.9,7477.9,10567.1,7.068,12.023,16.948,8.021,,,,,,
20260717T153252Z_sc-runner_bb,sc-runner,2026-07-17T16:43:29.310173+00:00,32,251.7,ycsb,4,4,20,5,1676,419.0,1.9004,5,True,62,188,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,26.7,2036258495,1942 MB,1.8964,446.5,39751.18,2385071,596267.8,596267.8,54518.09,0.094,0.109,0.121,0.1,,,,,,
20260717T153252Z_sc-runner_bb,sc-runner,2026-07-17T16:51:33.626202+00:00,32,251.7,ycsb,8,8,40,5,3351,418.88,3.7998,5,True,62,188,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,52.0,4064220863,3876 MB,3.7851,461.5,61634.92,3698095,462261.9,462261.9,90242.31,0.097,0.117,0.142,0.129,,,,,,
20260717T153252Z_sc-runner_bb,sc-runner,2026-07-17T17:00:15.208251+00:00,32,251.7,ycsb,16,16,80,5,6702,418.88,7.5995,5,True,62,188,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,111.9,8120784575,7745 MB,7.5631,463.4,61620.39,3697223,231076.4,231076.4,83566.2,0.104,0.139,0.183,0.258,,,,,,
20260717T153252Z_sc-runner_bb,sc-runner,2026-07-17T17:10:01.436856+00:00,32,251.7,ycsb,32,32,160,5,13405,418.91,15.2002,5,True,62,188,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,256.5,16234854079,15 GB,15.1199,461.9,41867.19,2512031,78501.0,78501.0,60389.06,0.145,0.261,0.67,0.762,,,,,,
20260717T153252Z_sc-runner_bb,sc-runner,2026-07-17T17:22:10.331924+00:00,32,251.7,ycsb,64,64,320,5,26810,418.91,30.4004,5,True,62,188,off,anonymous_volume,,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,564.9,32462108351,30 GB,30.2327,469.3,34016.29,2040978,31890.3,31890.3,42358.78,0.144,0.517,11.041,1.877,,,,,,
