run_id,hostname,timestamp_utc,ncpus,mem_gib,workload,run_vus,terminals,warehouses_equiv,wh_per_vu,scalefactor,sf_per_vu,expected_schema_gib,units_per_vu_min,sf_covers_vu_min,shared_buffers_gb,effective_cache_size_gb,synchronous_commit,pg_data_storage,pg_tmpfs_size_gib,rampup_min,duration_min,pg_image,benchbase_image,load_seconds,db_size_bytes,db_size_pretty,db_size_gib,run_seconds,tps,tpm,tpm_per_vu,tpm_per_core,goodput_tps,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_avg_ms,raw_load_log,raw_db_size,raw_run_log,raw_config,raw_summary,error
20260717T125333Z_sc-runner_bb,sc-runner,2026-07-17T12:53:33.173758+00:00,32,251.7,wikipedia,4,4,20,5,13,3.25,1.9244,5,False,62,188,off,tmpfs,125,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,22.3,2734380735,2608 MB,2.5466,427.2,6476.94,388616,97154.0,97154.0,8959.75,0.544,1.316,1.854,0.617,,,,,,
20260717T125333Z_sc-runner_bb,sc-runner,2026-07-17T13:01:10.863323+00:00,32,251.7,wikipedia,8,8,40,5,26,3.25,3.8488,5,False,62,188,off,tmpfs,125,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,48.4,6308460223,6016 MB,5.8752,429.5,9708.3,582498,72812.2,72812.2,13247.86,0.752,1.529,1.904,0.823,,,,,,
20260717T125333Z_sc-runner_bb,sc-runner,2026-07-17T13:09:18.275577+00:00,32,251.7,wikipedia,16,16,80,5,51,3.19,7.5495,5,False,62,188,off,tmpfs,125,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,88.5,11254961855,10 GB,10.482,431.6,12693.5,761610,47600.6,47600.6,17686.95,1.166,2.03,2.833,1.259,,,,,,
20260717T125333Z_sc-runner_bb,sc-runner,2026-07-17T13:18:10.422875+00:00,32,251.7,wikipedia,32,32,160,5,103,3.22,15.2471,5,False,62,188,off,tmpfs,125,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,178.9,22831150783,21 GB,21.2632,434.6,15845.26,950716,29709.9,29709.9,21985.25,1.925,2.722,3.847,2.018,,,,,,
20260717T125333Z_sc-runner_bb,sc-runner,2026-07-17T13:28:38.882400+00:00,32,251.7,wikipedia,64,64,320,5,205,3.2,30.3461,5,False,62,188,off,tmpfs,125,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,357.9,46550849215,43 GB,43.3539,431.1,8705.16,522309,8161.1,8161.1,12045.12,7.071,11.582,15.206,7.35,,,,,,
20260717T125333Z_sc-runner_bb,sc-runner,2026-07-17T13:42:04.798244+00:00,32,251.7,ycsb,4,4,20,5,1676,419.0,1.9004,5,True,62,188,off,tmpfs,125,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,3.7,2036192959,1942 MB,1.8964,447.9,42661.79,2559707,639926.8,639926.8,59618.56,0.093,0.107,0.122,0.093,,,,,,
20260717T125333Z_sc-runner_bb,sc-runner,2026-07-17T13:49:46.145735+00:00,32,251.7,ycsb,8,8,40,5,3351,418.88,3.7998,5,True,62,188,off,tmpfs,125,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,5.8,4064270015,3876 MB,3.7851,468.1,83755.97,5025358,628169.8,628169.8,117192.84,0.095,0.11,0.135,0.094,,,,,,
20260717T125333Z_sc-runner_bb,sc-runner,2026-07-17T13:57:48.626271+00:00,32,251.7,ycsb,16,16,80,5,6702,418.88,7.5995,5,True,62,188,off,tmpfs,125,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,9.8,8120579775,7744 MB,7.5629,505.5,141543.35,8492601,530787.6,530787.6,199955.0,0.108,0.14,0.185,0.112,,,,,,
20260717T125333Z_sc-runner_bb,sc-runner,2026-07-17T14:06:34.859227+00:00,32,251.7,ycsb,32,32,160,5,13405,418.91,15.2002,5,True,62,188,off,tmpfs,125,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,18.2,16234485439,15 GB,15.1195,548.3,198994.57,11939674,373114.8,373114.8,276708.71,0.142,0.252,0.496,0.159,,,,,,
20260717T125333Z_sc-runner_bb,sc-runner,2026-07-17T14:16:16.309346+00:00,32,251.7,ycsb,64,64,320,5,26810,418.91,30.4004,5,True,62,188,off,tmpfs,125,2,5,postgres:18,benchbase.azurecr.io/benchbase-postgres:latest,34.8,32461190847,30 GB,30.2318,557.1,179855.8,10791348,168614.8,168614.8,251300.43,0.191,0.527,4.968,0.354,,,,,,
