Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,140.200,0.350,0.282,0.312,0.331,0.370,0.396,0.408,0.428,3.843,2.856
5,127.000,0.424,0.284,0.315,0.338,0.379,0.403,0.424,0.750,21.230,2.358
10,129.000,0.391,0.282,0.315,0.334,0.372,0.401,0.410,0.447,24.712,2.561
15,136.400,0.343,0.282,0.311,0.331,0.372,0.397,0.407,0.430,0.521,2.920
20,135.200,0.346,0.288,0.307,0.327,0.364,0.392,0.399,0.415,6.353,2.889
25,138.200,0.357,0.286,0.310,0.334,0.367,0.393,0.402,0.470,5.678,2.803
30,138.800,0.341,0.284,0.311,0.333,0.368,0.397,0.406,0.430,0.545,2.929
35,134.600,0.339,0.284,0.308,0.330,0.366,0.391,0.399,0.425,0.494,2.952
40,134.200,0.340,0.283,0.309,0.330,0.368,0.394,0.404,0.436,0.553,2.944
45,133.200,0.355,0.283,0.310,0.332,0.369,0.395,0.408,0.445,6.075,2.815
50,129.000,0.337,0.278,0.306,0.331,0.362,0.390,0.401,0.419,0.475,2.966
55,134.600,0.341,0.277,0.309,0.330,0.369,0.394,0.403,0.428,0.605,2.936
60,140.800,0.338,0.284,0.306,0.329,0.364,0.393,0.403,0.429,0.505,2.954
65,113.600,1.218,0.286,0.313,0.339,0.378,0.410,0.450,56.037,63.158,0.821
70,129.600,0.716,0.286,0.316,0.336,0.381,0.407,0.419,15.588,44.535,1.397
75,132.400,0.350,0.286,0.311,0.330,0.368,0.397,0.406,0.463,5.593,2.857
80,141.400,0.340,0.283,0.310,0.330,0.368,0.395,0.404,0.420,0.474,2.939
85,139.200,0.363,0.280,0.308,0.331,0.369,0.391,0.402,0.438,5.935,2.757
90,141.800,0.348,0.285,0.311,0.334,0.368,0.393,0.404,0.435,5.167,2.874
95,129.800,0.344,0.281,0.312,0.333,0.377,0.399,0.408,0.437,0.528,2.907
100,135.000,0.354,0.275,0.310,0.331,0.368,0.394,0.407,0.440,5.170,2.823
105,125.000,0.343,0.280,0.309,0.338,0.374,0.397,0.405,0.441,0.535,2.913
110,132.000,0.341,0.276,0.304,0.326,0.358,0.389,0.400,0.435,5.281,2.928
115,134.600,0.334,0.277,0.303,0.325,0.360,0.387,0.397,0.430,0.551,2.996
120,135.200,0.339,0.284,0.310,0.327,0.367,0.392,0.399,0.425,0.554,2.953
125,134.800,0.445,0.281,0.313,0.333,0.375,0.401,0.415,0.559,14.702,2.248
130,128.600,0.408,0.285,0.312,0.336,0.377,0.402,0.417,0.518,13.224,2.452
135,135.600,0.338,0.284,0.308,0.329,0.365,0.394,0.401,0.424,0.444,2.957
140,147.800,0.345,0.282,0.309,0.327,0.365,0.394,0.400,0.428,5.462,2.902
145,129.000,0.342,0.284,0.311,0.330,0.370,0.394,0.404,0.434,0.639,2.927
150,144.000,0.345,0.282,0.307,0.328,0.363,0.394,0.405,0.442,5.407,2.900
155,135.400,0.336,0.281,0.306,0.326,0.364,0.389,0.397,0.411,0.478,2.977
160,135.200,0.339,0.281,0.308,0.329,0.364,0.389,0.400,0.447,0.520,2.953
165,137.200,0.338,0.282,0.307,0.325,0.365,0.391,0.402,0.441,0.535,2.960
170,138.600,0.339,0.283,0.306,0.329,0.368,0.395,0.402,0.417,0.533,2.949
175,128.600,0.349,0.277,0.311,0.330,0.372,0.395,0.404,0.420,5.174,2.862
180,141.000,0.344,0.284,0.306,0.328,0.364,0.389,0.403,0.430,4.735,2.910
185,135.400,0.350,0.284,0.309,0.329,0.372,0.397,0.406,0.488,5.757,2.854
190,135.000,0.337,0.281,0.307,0.324,0.367,0.390,0.400,0.420,0.518,2.970
195,130.400,0.334,0.274,0.306,0.328,0.360,0.381,0.393,0.412,0.484,2.995
200,125.800,0.331,0.277,0.303,0.327,0.355,0.381,0.392,0.410,0.483,3.020
205,121.400,0.342,0.277,0.305,0.328,0.361,0.386,0.395,0.417,4.289,2.928
210,129.800,0.338,0.279,0.307,0.330,0.367,0.391,0.405,0.431,0.486,2.954
215,143.600,0.344,0.284,0.305,0.326,0.365,0.390,0.401,0.445,4.527,2.911
220,139.200,0.355,0.281,0.308,0.334,0.370,0.395,0.407,0.437,5.441,2.819
225,126.200,0.340,0.283,0.308,0.332,0.366,0.394,0.406,0.441,0.476,2.945
230,135.200,0.340,0.279,0.308,0.329,0.366,0.394,0.408,0.431,1.128,2.941
235,138.800,0.338,0.287,0.305,0.331,0.365,0.392,0.403,0.430,0.475,2.957
240,137.400,0.342,0.275,0.309,0.334,0.372,0.397,0.409,0.443,0.525,2.925
245,129.600,0.351,0.277,0.309,0.339,0.370,0.400,0.414,0.497,4.674,2.851
250,138.600,0.337,0.273,0.306,0.328,0.361,0.391,0.403,0.431,0.721,2.967
255,134.200,0.339,0.278,0.308,0.329,0.367,0.396,0.403,0.425,0.469,2.950
260,134.600,0.332,0.269,0.303,0.325,0.358,0.384,0.397,0.411,0.512,3.011
265,132.600,0.330,0.272,0.298,0.319,0.355,0.383,0.394,0.419,0.720,3.034
270,116.600,0.338,0.273,0.305,0.327,0.360,0.386,0.399,0.423,2.213,2.957
275,138.400,0.349,0.285,0.309,0.333,0.366,0.396,0.408,0.444,6.171,2.866
280,135.600,0.343,0.281,0.306,0.327,0.363,0.387,0.396,0.429,4.873,2.917
285,139.800,0.340,0.284,0.307,0.334,0.368,0.393,0.401,0.415,0.436,2.940
290,140.600,0.344,0.283,0.310,0.333,0.371,0.399,0.410,0.441,0.791,2.908
295,138.400,0.343,0.284,0.313,0.333,0.369,0.397,0.407,0.444,0.568,2.914
300,25.200,0.347,0.281,0.313,0.343,0.376,0.404,0.408,0.414,0.454,2.884
