Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1709.000,1.923,1.265,1.680,1.855,2.076,2.334,2.548,3.278,5.745,0.520
5,1702.000,1.896,1.259,1.669,1.831,2.041,2.282,2.480,3.068,5.980,0.528
10,1699.200,1.916,1.248,1.681,1.854,2.054,2.292,2.470,3.151,6.696,0.522
15,1702.200,1.925,1.248,1.681,1.857,2.070,2.316,2.510,3.225,6.905,0.519
20,1677.000,1.974,1.240,1.723,1.905,2.124,2.378,2.573,3.268,6.904,0.507
25,1556.200,2.966,1.265,1.679,1.878,2.124,2.383,2.593,3.593,558.868,0.337
30,1136.600,3.825,1.297,1.749,1.935,2.218,2.535,2.772,5.825,573.631,0.261
35,1704.400,1.971,1.245,1.681,1.883,2.152,2.463,2.695,3.393,6.573,0.507
40,1683.400,2.011,1.273,1.703,1.907,2.187,2.586,2.828,3.550,7.198,0.497
45,1649.400,2.016,1.278,1.707,1.897,2.152,2.600,2.993,3.733,7.484,0.496
50,1649.800,2.058,1.253,1.734,1.935,2.254,2.649,2.903,3.766,9.295,0.486
55,1267.800,4.741,1.265,1.761,1.961,2.194,2.573,3.275,15.601,805.178,0.211
60,1079.600,4.715,1.292,1.787,2.053,2.442,2.911,3.390,6.984,754.826,0.212
65,1679.000,2.036,1.248,1.708,1.903,2.247,2.599,2.899,3.806,7.176,0.491
70,1707.800,1.899,1.272,1.661,1.821,2.037,2.302,2.481,3.176,6.494,0.527
75,1660.000,2.001,1.267,1.728,1.913,2.158,2.464,2.700,3.527,6.823,0.500
80,1659.000,2.018,1.235,1.706,1.953,2.230,2.505,2.697,3.400,6.880,0.495
85,1028.800,6.393,1.304,1.725,1.969,2.324,2.710,2.994,9.079,620.483,0.156
90,1337.000,3.961,1.263,1.772,2.022,2.402,2.888,3.181,5.672,785.927,0.252
95,1581.400,2.248,1.263,1.838,2.122,2.536,2.960,3.249,4.194,7.354,0.445
100,1612.200,2.140,1.287,1.731,1.952,2.324,3.033,3.369,4.310,7.898,0.467
105,1687.400,1.973,1.259,1.670,1.849,2.128,2.507,2.908,3.741,6.705,0.507
110,1556.200,2.481,1.262,1.712,1.918,2.198,2.572,2.953,5.159,276.732,0.403
115,1252.000,3.569,1.275,1.736,1.919,2.171,2.474,2.704,4.575,653.897,0.280
