Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,337.200,0.547,0.299,0.405,0.479,0.614,0.771,0.914,1.665,3.851,1.829
5,337.400,0.537,0.301,0.395,0.476,0.614,0.789,0.904,1.508,2.232,1.861
10,352.600,0.535,0.301,0.388,0.460,0.604,0.756,0.900,1.568,5.539,1.868
15,341.400,0.578,0.303,0.421,0.515,0.655,0.805,0.951,1.598,4.240,1.730
20,108.800,7.256,0.305,0.405,0.479,0.643,0.840,1.254,274.134,704.840,0.138
25,314.200,0.576,0.299,0.415,0.501,0.651,0.839,1.037,1.618,3.988,1.737
30,314.800,0.577,0.298,0.422,0.524,0.657,0.818,0.959,1.589,4.304,1.735
35,283.800,0.835,0.290,0.422,0.517,0.658,0.819,0.934,1.637,122.430,1.197
40,256.400,1.717,0.318,0.423,0.523,0.663,0.819,0.951,1.641,759.088,0.583
45,223.600,0.491,0.291,0.375,0.423,0.539,0.700,0.830,1.433,3.371,2.036
50,348.000,0.534,0.310,0.388,0.474,0.612,0.780,0.913,1.537,2.098,1.873
55,333.600,0.556,0.296,0.404,0.487,0.633,0.788,0.908,1.539,4.656,1.798
60,327.800,0.578,0.296,0.419,0.522,0.670,0.833,0.966,1.483,4.370,1.731
65,275.600,0.596,0.311,0.436,0.536,0.673,0.839,0.993,1.572,4.306,1.677
70,134.800,8.843,0.305,0.414,0.491,0.651,0.880,1.143,587.382,755.826,0.113
75,286.600,0.605,0.291,0.450,0.549,0.684,0.855,0.982,1.544,4.094,1.654
80,271.400,0.610,0.321,0.454,0.550,0.690,0.875,0.995,1.623,3.591,1.639
85,310.600,0.617,0.308,0.441,0.549,0.698,0.877,1.033,1.775,7.984,1.620
90,93.800,8.072,0.317,0.411,0.490,0.626,0.860,1.032,593.044,730.789,0.124
95,328.200,0.594,0.280,0.424,0.531,0.676,0.872,1.015,1.496,4.396,1.684
100,310.600,0.583,0.300,0.428,0.531,0.670,0.818,0.960,1.631,4.779,1.716
105,297.200,0.588,0.310,0.432,0.537,0.679,0.844,0.971,1.413,3.572,1.701
110,214.600,1.849,0.318,0.432,0.539,0.676,0.834,1.015,10.790,466.852,0.541
115,171.400,3.879,0.312,0.398,0.470,0.616,0.809,0.952,1.910,734.525,0.258
120,295.800,0.610,0.317,0.437,0.547,0.686,0.872,1.058,1.692,4.260,1.640
125,282.000,0.614,0.292,0.446,0.550,0.705,0.875,1.042,1.727,4.215,1.628
130,247.200,2.277,0.274,0.416,0.521,0.661,0.878,1.062,1.751,686.365,0.439
135,144.800,4.598,0.288,0.384,0.440,0.572,0.737,0.884,1.584,732.870,0.218
140,349.600,0.555,0.293,0.405,0.492,0.635,0.792,0.913,1.570,4.552,1.801
145,325.200,0.581,0.294,0.417,0.507,0.662,0.833,0.978,1.674,5.365,1.721
150,326.400,0.571,0.294,0.413,0.508,0.657,0.832,0.976,1.611,3.824,1.750
155,282.200,0.690,0.309,0.417,0.506,0.638,0.814,0.948,1.515,61.811,1.449
160,131.800,11.211,0.313,0.422,0.507,0.640,0.857,1.045,557.640,794.467,0.089
165,307.600,0.587,0.310,0.422,0.533,0.675,0.849,1.000,1.620,4.138,1.704
170,294.600,0.612,0.325,0.447,0.550,0.696,0.865,1.044,1.698,3.664,1.633
