Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,29811.400,0.789,0.396,0.573,0.744,0.927,1.130,1.269,1.628,36.205,1.267
5,31500.800,0.764,0.397,0.546,0.731,0.903,1.081,1.202,1.507,7.243,1.309
10,31791.200,0.753,0.396,0.530,0.720,0.889,1.068,1.190,1.495,5.554,1.328
15,28462.600,0.838,0.392,0.659,0.804,0.966,1.148,1.277,1.620,5.479,1.194
20,10197.800,1.564,0.400,0.627,0.773,0.948,1.144,1.287,1.701,727.209,0.639
25,28718.000,0.820,0.403,0.608,0.779,0.958,1.156,1.298,1.649,5.391,1.220
30,28225.400,0.850,0.399,0.673,0.817,0.983,1.159,1.287,1.615,5.390,1.176
35,25412.600,0.901,0.400,0.685,0.825,0.989,1.171,1.306,1.660,159.985,1.110
40,22844.600,1.029,0.400,0.664,0.809,0.972,1.153,1.279,1.618,761.861,0.971
45,21863.800,0.882,0.393,0.494,0.583,0.783,0.991,1.128,1.469,600.708,1.133
50,31904.000,0.752,0.393,0.537,0.721,0.884,1.059,1.181,1.475,6.195,1.330
55,29990.000,0.799,0.398,0.612,0.769,0.931,1.106,1.229,1.547,5.679,1.251
60,28951.400,0.824,0.402,0.632,0.787,0.963,1.153,1.287,1.648,6.131,1.213
65,24371.400,0.881,0.401,0.697,0.835,1.006,1.194,1.335,1.719,16.528,1.135
70,11642.800,1.184,0.403,0.600,0.760,0.955,1.163,1.316,1.718,755.950,0.845
75,25590.000,0.918,0.400,0.731,0.873,1.050,1.254,1.402,1.790,5.564,1.089
80,25963.000,0.910,0.400,0.728,0.867,1.040,1.234,1.377,1.748,5.821,1.099
85,27355.800,0.868,0.406,0.687,0.830,0.998,1.187,1.327,1.720,5.532,1.152
90,9269.800,1.675,0.413,0.621,0.780,0.950,1.134,1.266,1.628,730.265,0.597
95,27876.000,0.851,0.398,0.655,0.812,0.990,1.187,1.333,1.730,6.224,1.175
100,27912.800,0.857,0.399,0.683,0.825,0.987,1.166,1.292,1.610,5.574,1.167
105,27324.200,0.869,0.398,0.694,0.832,0.995,1.181,1.311,1.649,8.794,1.151
110,19350.200,1.137,0.401,0.709,0.849,1.016,1.207,1.346,1.749,676.962,0.880
115,15174.400,1.102,0.397,0.574,0.738,0.925,1.128,1.268,1.665,728.445,0.907
120,26748.000,0.881,0.403,0.697,0.841,1.012,1.205,1.344,1.712,5.492,1.135
125,25100.400,0.935,0.407,0.746,0.887,1.065,1.270,1.422,1.795,5.817,1.070
130,22247.600,1.020,0.389,0.654,0.818,1.021,1.260,1.438,1.922,668.255,0.980
135,13356.800,1.086,0.387,0.534,0.681,0.864,1.054,1.182,1.515,723.163,0.921
140,30411.800,0.787,0.393,0.589,0.755,0.920,1.097,1.226,1.549,6.316,1.271
145,29924.400,0.796,0.397,0.581,0.760,0.935,1.124,1.256,1.605,5.912,1.257
150,29438.000,0.815,0.400,0.639,0.784,0.944,1.119,1.246,1.564,5.449,1.227
155,25857.800,0.911,0.398,0.650,0.800,0.969,1.154,1.288,1.637,156.455,1.098
160,11888.800,1.255,0.411,0.669,0.820,1.000,1.201,1.348,1.768,617.012,0.797
165,27608.400,0.857,0.404,0.669,0.819,0.994,1.187,1.322,1.661,5.551,1.167
170,26429.200,0.900,0.402,0.726,0.859,1.023,1.210,1.348,1.681,6.912,1.112
175,27710.600,0.860,0.397,0.686,0.825,0.989,1.173,1.302,1.628,5.672,1.162
180,14594.400,1.304,0.405,0.725,0.862,1.034,1.223,1.361,1.736,848.941,0.767
185,20006.400,0.900,0.397,0.584,0.736,0.916,1.120,1.265,1.651,689.395,1.111
190,28787.200,0.834,0.400,0.665,0.802,0.958,1.134,1.254,1.575,5.916,1.199
195,29807.200,0.804,0.397,0.619,0.776,0.937,1.113,1.232,1.532,5.701,1.244
200,29573.200,0.814,0.400,0.617,0.782,0.951,1.133,1.262,1.584,5.811,1.229
205,27130.600,0.875,0.401,0.675,0.825,0.995,1.188,1.335,1.760,92.427,1.142
210,13809.800,1.037,0.405,0.632,0.796,0.975,1.164,1.299,1.664,749.162,0.965
215,26623.000,0.892,0.407,0.701,0.847,1.023,1.223,1.377,1.832,6.305,1.121
220,28490.800,0.844,0.398,0.674,0.812,0.972,1.147,1.272,1.587,5.675,1.184
225,29605.000,0.816,0.397,0.643,0.785,0.945,1.119,1.243,1.556,5.762,1.225
230,25252.000,0.910,0.394,0.704,0.837,0.998,1.178,1.307,1.649,151.130,1.099
235,20199.400,0.983,0.398,0.667,0.801,0.959,1.133,1.256,1.574,687.115,1.018
240,19546.200,0.871,0.400,0.531,0.657,0.838,1.043,1.177,1.530,634.791,1.148
245,29396.800,0.814,0.401,0.625,0.782,0.950,1.132,1.256,1.590,5.578,1.228
250,30090.000,0.792,0.401,0.590,0.762,0.926,1.107,1.234,1.557,5.765,1.262
255,29862.800,0.801,0.394,0.618,0.771,0.932,1.107,1.231,1.549,5.801,1.249
260,29442.200,0.811,0.398,0.635,0.780,0.939,1.115,1.240,1.561,5.545,1.233
265,12322.000,1.367,0.410,0.654,0.803,0.972,1.156,1.287,1.646,635.210,0.732
270,20054.000,0.910,0.405,0.538,0.705,0.894,1.094,1.228,1.563,645.918,1.099
275,29076.000,0.820,0.394,0.636,0.790,0.954,1.133,1.258,1.570,5.435,1.219
280,30306.600,0.790,0.392,0.599,0.759,0.920,1.098,1.223,1.547,5.629,1.265
285,27622.800,0.854,0.399,0.647,0.791,0.949,1.122,1.244,1.556,210.993,1.172
290,27465.200,0.860,0.398,0.626,0.781,0.945,1.122,1.248,1.597,181.492,1.163
295,8568.000,1.573,0.395,0.584,0.741,0.910,1.088,1.218,1.637,599.596,0.636
