Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,127.400,0.685,0.575,0.630,0.666,0.708,0.753,0.814,0.885,3.724,1.460
5,123.200,0.677,0.573,0.633,0.673,0.708,0.744,0.785,0.856,0.970,1.477
10,132.800,0.678,0.580,0.627,0.663,0.701,0.727,0.762,0.938,5.695,1.475
15,130.600,0.699,0.581,0.642,0.686,0.720,0.762,0.808,0.964,5.428,1.431
20,127.400,0.681,0.588,0.642,0.675,0.713,0.745,0.763,0.851,0.931,1.468
25,130.000,0.681,0.600,0.639,0.660,0.704,0.729,0.744,0.796,5.770,1.469
30,129.600,0.698,0.594,0.640,0.662,0.707,0.739,0.756,0.786,6.132,1.432
35,126.200,0.688,0.591,0.642,0.682,0.717,0.742,0.766,1.105,1.268,1.453
40,124.400,0.718,0.573,0.634,0.675,0.714,0.766,1.148,1.224,6.295,1.394
45,120.200,0.716,0.601,0.650,0.688,0.727,0.762,0.793,0.863,5.685,1.396
50,127.000,0.687,0.586,0.646,0.674,0.707,0.736,0.759,0.803,5.607,1.455
55,119.800,0.688,0.610,0.649,0.686,0.720,0.748,0.776,0.827,0.851,1.452
60,134.600,0.694,0.588,0.651,0.692,0.724,0.753,0.777,0.857,1.310,1.441
65,107.600,0.674,0.593,0.638,0.662,0.705,0.731,0.761,0.797,0.877,1.484
70,126.600,0.704,0.606,0.651,0.696,0.721,0.741,0.759,0.802,5.657,1.420
75,130.400,0.693,0.599,0.640,0.668,0.710,0.736,0.751,0.803,5.814,1.443
80,134.000,0.691,0.597,0.638,0.662,0.701,0.725,0.745,0.797,5.129,1.448
85,128.600,0.686,0.593,0.647,0.668,0.710,0.733,0.750,0.791,5.654,1.458
90,129.400,0.681,0.583,0.640,0.664,0.704,0.730,0.751,0.779,5.897,1.469
95,132.400,0.687,0.589,0.639,0.675,0.714,0.737,0.753,0.795,5.983,1.456
100,131.800,0.684,0.595,0.643,0.665,0.708,0.729,0.747,0.819,5.586,1.462
105,128.200,0.694,0.600,0.640,0.666,0.716,0.739,0.756,0.792,6.034,1.441
110,127.600,0.671,0.589,0.638,0.662,0.704,0.727,0.737,0.771,0.877,1.490
115,134.400,0.685,0.591,0.642,0.668,0.707,0.732,0.759,0.799,5.883,1.460
120,134.400,0.699,0.598,0.643,0.678,0.720,0.745,0.768,0.917,5.586,1.430
125,130.000,0.683,0.602,0.642,0.666,0.709,0.731,0.747,0.776,5.491,1.463
130,126.400,0.673,0.602,0.640,0.660,0.705,0.730,0.745,0.773,1.183,1.485
