Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12679.600,0.628,0.291,0.499,0.532,0.572,0.722,1.531,2.146,5.016,1.591
5,12622.600,0.632,0.288,0.503,0.536,0.571,0.682,1.520,2.117,54.275,1.583
10,12663.000,0.630,0.285,0.502,0.535,0.571,0.732,1.519,2.129,8.485,1.586
15,12252.800,0.652,0.295,0.514,0.550,0.590,0.739,1.563,2.381,8.718,1.534
20,12436.200,0.642,0.289,0.512,0.547,0.581,0.683,1.574,2.213,7.998,1.557
25,12785.200,0.625,0.287,0.509,0.538,0.570,0.623,1.520,2.002,7.486,1.600
30,12758.000,0.626,0.296,0.510,0.538,0.571,0.619,1.529,2.038,8.065,1.597
35,12583.600,0.635,0.287,0.509,0.541,0.573,0.661,1.532,2.097,53.503,1.575
40,11963.800,0.668,0.297,0.504,0.539,0.578,1.036,1.578,2.326,8.891,1.498
45,12447.000,0.642,0.294,0.515,0.547,0.583,0.666,1.580,2.261,7.706,1.558
50,12747.400,0.627,0.296,0.508,0.535,0.570,0.634,1.533,2.234,7.211,1.596
55,12598.600,0.634,0.284,0.515,0.546,0.576,0.628,1.572,2.137,7.583,1.577
60,12549.200,0.637,0.289,0.517,0.548,0.579,0.634,1.588,2.193,7.464,1.571
65,10038.400,0.796,0.291,0.507,0.530,0.566,0.613,1.534,2.233,84.682,1.256
70,12686.600,0.630,0.291,0.516,0.549,0.575,0.615,1.535,2.050,7.998,1.588
75,12900.200,0.619,0.289,0.507,0.532,0.566,0.607,1.502,1.985,43.811,1.615
80,13009.000,0.614,0.285,0.508,0.529,0.562,0.604,1.489,1.999,7.107,1.628
85,12611.600,0.633,0.288,0.513,0.539,0.572,0.612,1.540,2.120,48.136,1.579
90,12806.600,0.624,0.294,0.510,0.536,0.568,0.614,1.517,2.098,37.350,1.603
95,12845.600,0.622,0.295,0.509,0.539,0.570,0.608,1.510,1.969,7.261,1.608
100,12943.800,0.617,0.293,0.509,0.532,0.564,0.602,1.529,1.934,7.652,1.620
105,12839.200,0.622,0.288,0.507,0.533,0.570,0.619,1.521,2.051,7.807,1.607
110,12797.800,0.624,0.285,0.508,0.534,0.569,0.634,1.527,2.095,7.296,1.602
115,12701.400,0.629,0.293,0.510,0.538,0.572,0.636,1.517,2.281,8.797,1.590
120,12593.600,0.634,0.290,0.513,0.545,0.577,0.644,1.526,2.340,7.521,1.576
125,12732.400,0.627,0.284,0.512,0.537,0.570,0.607,1.562,2.003,30.340,1.594
130,12774.200,0.625,0.287,0.511,0.538,0.570,0.615,1.548,2.075,7.072,1.599
135,12821.000,0.623,0.291,0.510,0.535,0.568,0.612,1.529,2.055,7.545,1.605
140,12818.600,0.623,0.289,0.511,0.537,0.570,0.614,1.524,2.074,7.593,1.605
145,12650.400,0.632,0.293,0.514,0.546,0.576,0.626,1.511,2.214,7.344,1.583
150,12849.200,0.622,0.287,0.511,0.540,0.568,0.606,1.508,2.065,7.012,1.609
155,12631.000,0.632,0.295,0.518,0.550,0.578,0.619,1.537,2.116,9.431,1.581
160,12744.800,0.627,0.294,0.509,0.539,0.570,0.623,1.506,2.204,7.159,1.595
165,12542.000,0.637,0.295,0.515,0.545,0.579,0.631,1.552,2.289,7.998,1.570
170,12753.200,0.626,0.289,0.512,0.535,0.570,0.614,1.556,2.116,7.811,1.596
175,12260.800,0.652,0.291,0.514,0.541,0.574,0.620,1.552,2.119,125.759,1.535
180,12609.400,0.634,0.284,0.513,0.543,0.574,0.629,1.554,2.212,8.203,1.578
185,12520.600,0.638,0.300,0.518,0.551,0.580,0.632,1.573,2.210,8.902,1.567
190,12444.200,0.642,0.291,0.521,0.554,0.585,0.633,1.607,2.176,7.254,1.558
195,12652.800,0.631,0.290,0.512,0.542,0.575,0.627,1.551,2.124,7.349,1.584
200,12675.200,0.630,0.289,0.515,0.547,0.573,0.627,1.545,2.099,7.765,1.587
205,12526.400,0.638,0.285,0.515,0.547,0.578,0.640,1.522,2.370,7.990,1.568
210,12717.600,0.628,0.287,0.513,0.546,0.574,0.623,1.511,2.091,7.027,1.592
215,12914.400,0.619,0.285,0.509,0.532,0.565,0.606,1.516,2.010,7.037,1.617
220,12486.800,0.640,0.281,0.510,0.531,0.565,0.607,1.540,2.009,105.934,1.563
225,12524.600,0.638,0.280,0.516,0.544,0.578,0.630,1.595,2.214,8.603,1.568
230,12518.400,0.638,0.287,0.515,0.550,0.579,0.628,1.570,2.275,7.400,1.567
235,12626.400,0.633,0.288,0.515,0.541,0.573,0.619,1.581,2.170,7.810,1.580
240,12860.600,0.621,0.283,0.509,0.529,0.564,0.608,1.545,2.104,8.180,1.610
245,12491.200,0.640,0.288,0.517,0.546,0.576,0.626,1.575,2.265,7.087,1.563
250,12773.600,0.625,0.289,0.512,0.542,0.570,0.613,1.541,2.046,6.804,1.599
255,12736.800,0.627,0.281,0.511,0.540,0.568,0.612,1.534,2.104,35.554,1.594
260,12750.000,0.627,0.286,0.513,0.544,0.572,0.616,1.521,2.091,7.460,1.596
265,12934.800,0.618,0.286,0.507,0.531,0.566,0.608,1.519,2.002,7.179,1.619
270,12760.800,0.626,0.295,0.512,0.543,0.572,0.616,1.523,2.097,8.497,1.597
275,12934.200,0.618,0.284,0.506,0.531,0.565,0.611,1.501,1.985,7.631,1.619
280,12881.000,0.620,0.286,0.507,0.529,0.563,0.612,1.514,2.128,7.482,1.612
285,12793.800,0.624,0.294,0.507,0.530,0.567,0.630,1.522,2.189,7.044,1.601
290,12535.400,0.637,0.284,0.512,0.540,0.575,0.648,1.582,2.225,8.308,1.569
295,12724.400,0.628,0.294,0.510,0.537,0.570,0.631,1.538,2.077,8.265,1.593
