Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17380.000,0.918,0.420,0.695,0.730,0.776,0.889,2.033,2.766,355.906,1.090
5,18865.400,0.846,0.443,0.696,0.730,0.774,0.888,2.002,2.794,9.767,1.182
10,18769.600,0.851,0.440,0.698,0.732,0.775,0.900,2.016,2.872,7.598,1.175
15,18663.600,0.856,0.447,0.691,0.727,0.772,0.903,2.012,2.804,65.390,1.168
20,19148.400,0.835,0.436,0.686,0.722,0.759,0.882,1.980,2.771,6.496,1.198
25,19183.400,0.833,0.420,0.688,0.723,0.761,0.874,1.956,2.750,8.799,1.200
30,18680.800,0.856,0.434,0.699,0.734,0.779,0.886,2.003,3.134,7.754,1.169
35,18668.000,0.856,0.424,0.698,0.736,0.783,0.916,2.012,3.018,7.209,1.168
40,17189.000,0.930,0.438,0.698,0.731,0.770,0.873,1.952,2.767,174.377,1.075
45,18181.200,0.883,0.415,0.687,0.730,0.810,0.991,1.955,3.461,85.170,1.132
50,18260.000,0.871,0.421,0.686,0.724,0.775,0.989,1.999,3.076,88.411,1.148
55,18970.000,0.843,0.428,0.678,0.714,0.766,0.980,1.978,2.995,6.687,1.187
60,19161.800,0.834,0.425,0.666,0.701,0.761,1.006,1.899,3.047,6.537,1.199
65,18922.400,0.845,0.417,0.688,0.724,0.770,0.931,1.949,2.920,8.805,1.184
70,19332.000,0.827,0.425,0.679,0.716,0.754,0.871,1.907,2.757,7.548,1.209
75,19322.000,0.827,0.424,0.682,0.717,0.756,0.868,1.934,2.691,8.607,1.209
80,18822.200,0.849,0.423,0.696,0.733,0.776,0.904,1.980,2.870,6.591,1.177
85,18518.200,0.863,0.439,0.686,0.720,0.760,0.883,1.946,2.746,184.777,1.159
90,16149.400,0.990,0.414,0.682,0.720,0.787,0.972,2.013,3.181,675.239,1.010
95,18186.600,0.879,0.428,0.694,0.738,0.811,0.990,2.121,3.221,9.579,1.138
100,15715.800,1.017,0.445,0.694,0.747,0.863,1.084,2.173,3.597,157.251,0.983
105,17641.200,0.906,0.431,0.680,0.730,0.911,1.109,2.086,3.490,7.618,1.104
110,18242.000,0.876,0.428,0.697,0.741,0.808,0.956,2.158,3.134,7.025,1.141
115,10938.400,1.462,0.439,0.696,0.733,0.783,0.901,2.057,3.040,680.069,0.684
120,18496.800,0.864,0.426,0.685,0.719,0.761,0.877,1.916,2.792,138.027,1.157
125,18830.400,0.849,0.421,0.697,0.732,0.776,0.883,1.972,2.908,6.451,1.178
130,19045.600,0.839,0.425,0.691,0.726,0.769,0.876,1.950,2.779,7.241,1.192
135,19067.600,0.838,0.442,0.692,0.726,0.764,0.869,1.975,2.754,6.907,1.193
140,18649.000,0.857,0.424,0.693,0.732,0.785,0.913,2.009,3.144,8.461,1.167
145,18998.800,0.841,0.438,0.691,0.726,0.767,0.885,1.969,2.847,7.807,1.189
150,14140.600,1.131,0.438,0.699,0.738,0.794,0.944,2.113,3.168,314.192,0.884
155,18554.600,0.861,0.414,0.704,0.739,0.784,0.891,2.068,2.947,8.708,1.161
160,19033.400,0.840,0.406,0.696,0.728,0.770,0.865,1.941,2.874,6.570,1.191
165,18813.600,0.850,0.409,0.696,0.731,0.775,0.887,1.992,2.919,8.690,1.177
170,18777.600,0.851,0.434,0.690,0.729,0.779,0.911,1.995,3.001,8.785,1.175
175,18670.800,0.856,0.440,0.690,0.729,0.785,0.928,1.977,3.221,8.444,1.168
180,11856.000,1.349,0.417,0.696,0.739,0.804,0.950,2.062,3.265,700.775,0.742
185,16360.400,0.977,0.401,0.699,0.735,0.781,0.889,2.014,3.075,326.745,1.023
190,18816.400,0.849,0.431,0.692,0.728,0.774,0.903,2.006,3.006,7.838,1.177
195,18835.200,0.849,0.418,0.688,0.725,0.775,0.922,2.032,2.907,8.984,1.178
200,17869.600,0.895,0.434,0.683,0.724,0.815,1.194,2.129,3.546,8.356,1.118
205,18110.800,0.882,0.429,0.692,0.734,0.803,1.147,2.063,3.264,7.599,1.133
210,13163.000,1.215,0.436,0.709,0.742,0.790,0.895,2.054,3.054,503.102,0.823
215,17780.600,0.899,0.431,0.696,0.730,0.774,0.876,2.014,2.838,300.819,1.112
220,18396.400,0.869,0.422,0.706,0.744,0.796,0.903,2.116,2.987,7.009,1.151
225,18774.200,0.851,0.432,0.701,0.736,0.780,0.880,1.992,2.959,9.310,1.175
230,18568.400,0.862,0.434,0.705,0.739,0.784,0.890,2.083,2.913,21.821,1.160
235,16367.800,0.975,0.442,0.710,0.746,0.803,0.911,2.116,3.068,130.268,1.025
240,16992.800,0.941,0.455,0.705,0.739,0.783,0.892,2.035,3.120,222.557,1.063
245,15591.600,1.025,0.439,0.702,0.737,0.786,0.890,2.013,3.202,744.129,0.975
250,19064.200,0.838,0.435,0.693,0.726,0.766,0.860,1.991,2.732,7.283,1.193
255,18963.600,0.843,0.402,0.696,0.728,0.768,0.868,1.998,2.787,6.947,1.187
260,18911.000,0.845,0.418,0.699,0.731,0.769,0.862,1.997,2.885,6.898,1.183
265,19000.200,0.841,0.424,0.695,0.728,0.767,0.860,1.982,2.821,8.704,1.189
270,18928.800,0.844,0.439,0.695,0.729,0.768,0.867,1.980,2.979,8.363,1.184
275,17135.800,0.933,0.429,0.697,0.731,0.774,0.878,1.987,2.940,440.970,1.072
280,16813.000,0.951,0.440,0.703,0.737,0.776,0.871,1.995,2.818,519.539,1.052
