Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,156.200,0.696,0.601,0.657,0.682,0.723,0.761,0.790,0.855,2.449,1.437
5,155.200,0.699,0.598,0.656,0.679,0.720,0.752,0.772,0.832,3.563,1.430
10,161.800,0.693,0.602,0.656,0.678,0.718,0.750,0.771,0.854,3.321,1.443
15,160.200,0.699,0.604,0.658,0.682,0.723,0.753,0.772,0.882,3.746,1.431
20,143.400,0.697,0.602,0.659,0.681,0.713,0.754,0.775,0.845,3.284,1.435
25,157.000,0.705,0.604,0.662,0.687,0.731,0.766,0.797,0.867,3.172,1.419
30,156.800,0.698,0.592,0.656,0.680,0.721,0.755,0.780,0.859,3.474,1.433
35,128.600,1.327,0.592,0.658,0.685,0.725,0.768,0.799,0.945,375.352,0.754
40,162.200,0.698,0.598,0.660,0.688,0.729,0.766,0.783,0.847,1.048,1.432
45,153.400,0.708,0.603,0.663,0.686,0.728,0.765,0.789,0.887,3.614,1.411
50,141.200,0.692,0.593,0.656,0.680,0.724,0.760,0.785,0.832,0.919,1.445
55,164.000,0.691,0.590,0.653,0.677,0.714,0.752,0.774,0.823,3.467,1.447
60,157.200,0.700,0.570,0.656,0.682,0.728,0.761,0.781,0.859,3.549,1.429
65,121.800,1.539,0.589,0.658,0.683,0.723,0.764,0.783,0.850,512.590,0.650
70,166.400,0.694,0.595,0.659,0.684,0.723,0.759,0.782,0.852,0.901,1.441
75,158.200,0.695,0.595,0.655,0.680,0.717,0.749,0.770,0.836,3.385,1.438
80,152.800,0.696,0.598,0.657,0.681,0.724,0.757,0.778,0.837,3.498,1.436
85,161.000,0.710,0.593,0.665,0.690,0.732,0.772,0.798,0.966,3.565,1.409
90,156.800,0.698,0.561,0.658,0.683,0.727,0.766,0.796,0.907,1.251,1.433
95,165.600,0.690,0.591,0.655,0.679,0.716,0.753,0.777,0.837,1.222,1.449
100,169.400,0.689,0.603,0.654,0.678,0.719,0.754,0.774,0.835,0.982,1.452
105,122.600,2.038,0.605,0.662,0.687,0.726,0.766,0.801,1.127,628.521,0.491
110,162.000,0.694,0.601,0.658,0.683,0.725,0.761,0.781,0.876,1.042,1.440
115,173.400,0.703,0.604,0.661,0.689,0.727,0.767,0.789,0.871,3.313,1.423
120,151.600,0.694,0.594,0.659,0.681,0.723,0.765,0.781,0.830,1.194,1.442
125,152.000,0.694,0.586,0.655,0.681,0.718,0.758,0.780,0.885,3.086,1.441
130,163.400,0.695,0.603,0.659,0.685,0.725,0.757,0.779,0.881,1.461,1.438
135,112.800,3.076,0.601,0.661,0.685,0.725,0.763,0.792,3.481,446.376,0.325
140,158.800,0.698,0.584,0.657,0.682,0.725,0.763,0.784,0.902,3.605,1.433
145,150.600,0.695,0.598,0.661,0.684,0.724,0.759,0.782,0.868,0.923,1.438
150,156.000,0.696,0.599,0.655,0.677,0.718,0.751,0.769,0.845,3.586,1.437
155,160.400,0.690,0.596,0.651,0.673,0.710,0.745,0.764,0.848,3.476,1.449
160,152.800,0.690,0.598,0.653,0.675,0.710,0.746,0.777,0.872,3.097,1.450
165,159.200,0.691,0.593,0.653,0.673,0.708,0.748,0.767,0.841,3.502,1.448
170,163.000,0.686,0.592,0.652,0.675,0.719,0.746,0.772,0.836,1.025,1.457
175,159.400,0.699,0.598,0.658,0.683,0.723,0.757,0.775,0.846,3.701,1.431
180,159.400,0.685,0.601,0.654,0.673,0.709,0.744,0.761,0.840,0.972,1.461
185,162.000,0.687,0.601,0.652,0.673,0.709,0.747,0.767,0.840,2.980,1.455
190,153.200,0.693,0.599,0.653,0.674,0.714,0.754,0.772,0.874,3.662,1.444
195,159.800,0.695,0.601,0.654,0.674,0.714,0.755,0.775,0.913,3.561,1.439
200,155.800,0.693,0.598,0.658,0.681,0.724,0.759,0.782,0.848,0.980,1.442
205,157.600,0.700,0.590,0.658,0.683,0.731,0.762,0.795,0.884,3.611,1.429
210,153.600,0.690,0.602,0.653,0.675,0.711,0.750,0.774,0.859,3.404,1.449
215,165.000,0.686,0.593,0.651,0.672,0.708,0.745,0.767,0.852,3.242,1.457
220,153.200,0.692,0.589,0.654,0.675,0.712,0.747,0.766,0.825,3.469,1.444
225,163.400,0.687,0.602,0.651,0.678,0.718,0.753,0.771,0.826,0.874,1.455
230,161.000,0.696,0.600,0.658,0.680,0.720,0.750,0.770,0.837,3.344,1.436
235,143.400,1.051,0.605,0.658,0.680,0.721,0.759,0.782,0.858,256.299,0.951
240,153.200,0.692,0.584,0.656,0.680,0.721,0.757,0.778,0.861,0.948,1.445
245,166.200,0.694,0.588,0.655,0.678,0.716,0.752,0.776,0.857,3.770,1.440
250,150.400,0.694,0.604,0.656,0.681,0.722,0.755,0.775,0.832,2.904,1.441
255,160.000,0.693,0.602,0.651,0.672,0.706,0.750,0.776,0.883,3.390,1.442
260,156.200,0.690,0.601,0.653,0.671,0.709,0.750,0.771,0.856,3.208,1.449
265,162.800,0.693,0.595,0.656,0.681,0.722,0.762,0.784,0.840,1.028,1.444
270,152.600,0.697,0.595,0.653,0.680,0.720,0.753,0.781,0.874,3.055,1.435
275,159.800,0.694,0.596,0.656,0.679,0.716,0.751,0.771,0.829,3.290,1.442
280,162.800,0.691,0.598,0.652,0.675,0.718,0.752,0.774,0.832,3.564,1.448
285,158.200,0.690,0.601,0.652,0.675,0.706,0.746,0.769,0.887,3.118,1.449
290,158.200,0.698,0.591,0.654,0.676,0.719,0.756,0.776,0.847,3.581,1.432
295,151.200,0.815,0.598,0.657,0.678,0.722,0.758,0.778,0.828,89.708,1.227
300,32.600,0.720,0.608,0.662,0.691,0.738,0.767,0.798,0.974,3.554,1.389
