Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,30477.400,0.812,0.670,0.750,0.775,0.805,0.848,0.947,1.622,7.894,1.232
5,28890.400,0.853,0.669,0.758,0.787,0.826,0.967,1.305,1.926,7.830,1.172
10,26259.200,0.898,0.674,0.762,0.792,0.837,1.069,1.236,1.948,137.060,1.114
15,30363.800,0.816,0.672,0.756,0.781,0.811,0.861,0.997,1.550,5.975,1.226
20,8838.600,2.039,0.675,0.779,0.814,0.890,1.061,1.291,2.017,1031.646,0.490
25,29530.000,0.823,0.659,0.752,0.778,0.812,0.872,0.995,1.666,53.902,1.215
30,30917.800,0.803,0.662,0.748,0.773,0.800,0.841,0.914,1.538,6.744,1.245
35,31309.400,0.791,0.669,0.746,0.769,0.797,0.832,0.869,1.205,6.717,1.264
40,30970.200,0.797,0.672,0.749,0.774,0.801,0.835,0.886,1.247,5.530,1.255
45,20517.400,0.949,0.664,0.750,0.774,0.804,0.858,0.949,1.530,492.764,1.053
50,24846.000,0.857,0.668,0.751,0.775,0.805,0.855,0.946,1.609,729.900,1.167
55,29319.600,0.833,0.665,0.747,0.771,0.800,0.838,0.898,1.467,253.950,1.200
60,26717.200,0.819,0.662,0.748,0.770,0.798,0.837,0.915,1.610,113.359,1.222
65,30577.000,0.807,0.669,0.754,0.777,0.805,0.846,0.934,1.421,6.396,1.238
70,24326.600,0.896,0.665,0.762,0.793,0.835,0.932,1.143,1.858,134.033,1.116
75,17094.800,1.136,0.678,0.771,0.808,0.862,1.042,1.350,2.003,883.501,0.880
80,30109.000,0.818,0.670,0.756,0.783,0.816,0.870,1.013,1.534,6.855,1.222
85,30331.400,0.814,0.672,0.748,0.773,0.805,0.858,0.983,1.709,6.744,1.228
90,29917.200,0.823,0.663,0.747,0.772,0.803,0.863,1.060,1.740,73.671,1.214
95,27685.600,0.863,0.665,0.757,0.784,0.819,0.907,1.125,1.800,116.838,1.159
100,14277.800,1.075,0.671,0.760,0.789,0.838,1.006,1.231,1.902,642.608,0.930
