Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,64.400,0.957,0.863,0.921,0.945,0.981,1.034,1.052,1.114,1.210,1.045
5,64.000,0.962,0.861,0.924,0.943,0.970,1.025,1.060,1.151,3.594,1.039
10,64.200,0.953,0.866,0.916,0.933,0.961,1.000,1.035,1.114,4.131,1.049
15,64.200,0.957,0.849,0.919,0.937,0.961,1.015,1.037,1.126,4.104,1.045
20,66.400,0.938,0.859,0.910,0.927,0.955,1.008,1.029,1.074,1.108,1.066
25,67.200,0.947,0.862,0.913,0.929,0.955,0.993,1.024,1.074,4.130,1.056
30,60.400,0.943,0.851,0.915,0.934,0.955,0.997,1.029,1.077,1.391,1.060
35,65.600,0.939,0.852,0.912,0.929,0.955,1.000,1.038,1.080,1.212,1.065
40,68.000,0.955,0.850,0.914,0.935,0.963,1.010,1.036,1.152,4.494,1.048
45,63.000,0.960,0.854,0.920,0.937,0.967,1.028,1.054,1.099,4.147,1.042
50,63.200,0.949,0.857,0.922,0.938,0.966,1.005,1.052,1.111,1.232,1.054
55,63.600,0.942,0.862,0.917,0.931,0.956,1.008,1.023,1.074,1.144,1.061
60,67.400,0.977,0.857,0.919,0.939,0.977,1.028,1.097,1.287,4.205,1.024
65,59.400,1.520,0.865,0.913,0.932,0.962,1.018,1.050,53.121,59.793,0.658
70,61.400,0.953,0.837,0.915,0.932,0.956,1.015,1.038,1.125,4.296,1.050
75,63.200,0.943,0.851,0.914,0.933,0.964,1.009,1.036,1.122,1.146,1.060
80,68.600,0.936,0.848,0.911,0.929,0.949,0.996,1.019,1.065,1.096,1.069
85,68.200,0.955,0.862,0.908,0.925,0.954,1.002,1.027,1.138,4.151,1.047
90,63.600,0.947,0.846,0.907,0.929,0.955,1.014,1.041,1.142,3.735,1.056
95,65.400,0.937,0.839,0.907,0.924,0.957,1.012,1.036,1.066,1.183,1.067
100,61.600,0.958,0.843,0.909,0.928,0.957,1.012,1.025,1.117,4.459,1.044
105,66.400,0.946,0.851,0.905,0.926,0.956,1.012,1.039,1.113,4.154,1.057
110,60.000,0.947,0.865,0.914,0.936,0.963,1.020,1.051,1.105,1.111,1.056
115,66.400,0.944,0.845,0.917,0.933,0.958,1.017,1.050,1.073,1.109,1.059
120,65.400,0.948,0.844,0.910,0.934,0.971,1.022,1.054,1.135,1.191,1.055
125,63.200,0.945,0.857,0.910,0.924,0.953,1.000,1.023,1.099,4.041,1.059
130,66.600,0.949,0.853,0.907,0.926,0.961,1.011,1.040,1.083,4.185,1.054
135,71.400,0.944,0.856,0.906,0.924,0.951,1.007,1.040,1.112,4.015,1.059
140,64.600,0.941,0.854,0.910,0.929,0.956,1.014,1.047,1.095,1.205,1.063
145,66.400,0.934,0.837,0.905,0.923,0.950,1.008,1.038,1.095,1.154,1.070
150,65.600,0.937,0.849,0.908,0.930,0.956,0.997,1.022,1.059,1.073,1.068
155,59.600,0.950,0.843,0.909,0.928,0.959,1.006,1.043,1.149,4.007,1.053
160,60.000,0.943,0.840,0.914,0.932,0.960,1.009,1.031,1.085,1.282,1.061
165,54.400,0.955,0.855,0.913,0.931,0.963,1.005,1.027,1.108,4.414,1.047
