Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,436.200,3.033,1.779,2.198,2.411,2.905,3.528,4.550,14.399,37.211,0.330
5,452.800,3.010,1.787,2.117,2.323,2.804,3.462,5.052,14.383,30.874,0.332
10,446.400,3.019,1.773,2.135,2.377,2.900,3.471,5.202,14.126,26.636,0.331
15,470.600,3.024,1.784,2.169,2.471,2.879,3.422,4.769,14.151,23.397,0.331
20,452.200,3.372,1.803,2.108,2.311,2.904,3.429,10.261,15.340,558.390,0.297
25,450.400,2.934,1.789,2.089,2.287,2.851,3.380,4.624,13.883,30.482,0.341
30,466.000,3.038,1.778,2.099,2.281,2.930,3.404,6.350,14.585,33.720,0.329
35,460.800,3.012,1.762,2.033,2.220,2.932,3.318,9.208,14.153,38.243,0.332
40,454.200,3.080,1.784,2.113,2.305,2.847,3.348,9.713,14.655,37.863,0.325
45,451.200,2.857,1.802,2.051,2.254,2.774,3.304,4.533,14.103,23.916,0.350
50,457.400,2.970,1.799,2.125,2.309,2.792,3.606,4.807,13.942,25.404,0.337
55,450.600,2.965,1.801,2.054,2.222,2.842,3.384,5.323,14.204,24.960,0.337
60,435.200,3.399,1.783,2.101,2.289,3.008,3.782,8.784,15.983,117.675,0.294
65,422.800,4.095,1.766,2.119,2.327,3.118,3.776,13.482,35.119,662.193,0.244
70,445.600,3.088,1.796,2.145,2.395,2.945,3.483,5.845,14.598,30.481,0.324
75,452.600,3.291,1.787,2.198,2.444,2.851,3.373,4.836,14.125,542.410,0.304
80,469.000,3.073,1.812,2.142,2.466,2.956,3.369,5.152,14.291,32.625,0.325
85,452.600,3.043,1.782,2.133,2.325,2.851,3.376,5.612,14.404,27.411,0.329
90,463.800,2.914,1.799,2.114,2.294,2.696,3.329,4.398,13.932,27.154,0.343
95,446.600,2.969,1.790,2.115,2.280,2.854,3.412,5.279,13.763,29.055,0.337
100,429.200,3.069,1.776,2.111,2.270,2.769,3.390,7.327,14.994,33.305,0.326
105,447.000,3.392,1.797,2.110,2.302,2.860,3.407,10.443,14.572,671.894,0.295
110,434.600,3.236,1.795,2.217,2.566,3.033,3.939,5.664,14.385,31.326,0.309
115,447.600,3.198,1.811,2.187,2.438,3.076,3.757,6.390,14.473,36.066,0.313
120,445.600,3.186,1.807,2.164,2.370,2.971,3.958,8.111,14.661,25.246,0.314
125,454.600,3.133,1.796,2.142,2.352,2.981,3.540,6.053,14.650,35.601,0.319
130,441.800,3.166,1.773,2.188,2.380,2.862,3.728,7.547,15.397,28.776,0.316
135,458.600,3.017,1.775,2.126,2.312,2.820,3.808,4.969,13.990,32.358,0.331
