Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,127.400,1.085,0.707,0.853,0.993,1.222,1.461,1.648,2.495,4.511,0.922
5,56.000,9.641,0.703,0.993,1.574,6.051,41.057,54.827,83.132,102.684,0.104
10,121.800,1.051,0.682,0.832,0.946,1.185,1.425,1.644,2.310,3.183,0.952
15,124.600,1.084,0.690,0.852,0.996,1.249,1.496,1.646,1.941,3.645,0.922
20,122.800,1.491,0.682,0.838,0.955,1.155,1.393,1.540,2.126,211.686,0.671
25,98.200,3.064,0.712,0.837,0.968,1.192,1.405,1.564,143.406,218.965,0.326
30,116.400,1.048,0.700,0.851,0.943,1.158,1.381,1.527,2.121,5.531,0.954
35,121.000,1.048,0.717,0.847,0.944,1.162,1.374,1.531,1.925,6.141,0.955
40,128.800,1.060,0.688,0.849,0.953,1.146,1.323,1.461,2.031,19.517,0.943
45,70.800,4.903,0.697,0.876,0.970,1.220,1.452,1.754,139.938,211.791,0.204
50,124.200,1.104,0.679,0.839,0.954,1.187,1.428,1.741,2.252,19.728,0.906
55,126.000,1.056,0.697,0.843,0.953,1.190,1.446,1.645,2.218,4.866,0.947
60,120.400,1.011,0.691,0.839,0.933,1.119,1.348,1.491,1.819,2.661,0.989
65,45.400,11.440,0.758,0.991,1.551,8.252,44.150,68.780,82.707,92.572,0.087
70,108.200,1.354,0.698,0.855,0.951,1.207,1.449,1.649,6.512,44.376,0.738
75,114.800,1.694,0.698,0.847,0.958,1.179,1.406,1.622,2.829,147.320,0.590
80,102.600,2.250,0.690,0.835,0.944,1.150,1.388,1.643,2.306,145.287,0.445
85,114.400,1.091,0.725,0.856,0.974,1.198,1.448,1.719,2.620,5.903,0.917
90,126.200,1.073,0.696,0.855,0.955,1.166,1.425,1.670,2.589,5.827,0.932
95,125.400,1.103,0.715,0.867,0.991,1.231,1.477,1.732,2.111,6.300,0.907
100,78.200,4.446,0.718,0.852,0.995,1.232,1.554,1.853,142.626,214.360,0.225
105,119.600,1.043,0.711,0.854,0.944,1.153,1.438,1.580,1.923,4.633,0.959
110,110.200,1.030,0.692,0.843,0.942,1.150,1.320,1.469,1.879,5.951,0.970
115,120.200,1.050,0.717,0.831,0.947,1.176,1.414,1.680,2.074,3.380,0.952
120,122.600,1.076,0.713,0.857,0.968,1.200,1.431,1.651,2.300,5.539,0.929
125,53.400,11.836,0.760,1.048,1.836,8.440,42.150,56.494,92.351,102.803,0.084
130,100.000,3.533,0.700,0.830,0.917,1.148,1.393,1.594,130.764,280.932,0.283
135,116.800,1.078,0.693,0.854,0.986,1.224,1.462,1.618,2.132,5.986,0.928
140,127.000,1.035,0.691,0.849,0.937,1.132,1.357,1.549,1.939,5.099,0.966
145,127.400,1.054,0.672,0.843,0.963,1.187,1.428,1.608,2.034,5.886,0.949
150,117.000,1.052,0.698,0.847,0.965,1.180,1.402,1.542,2.246,3.169,0.951
155,84.000,5.671,0.698,0.842,0.981,1.278,1.663,2.335,145.522,277.269,0.176
160,114.400,1.008,0.685,0.829,0.919,1.114,1.313,1.499,2.037,2.592,0.992
165,112.600,1.511,0.708,0.836,0.925,1.113,1.310,1.451,1.904,144.856,0.662
170,126.000,1.002,0.674,0.805,0.888,1.080,1.289,1.473,1.968,13.004,0.998
175,126.400,0.974,0.642,0.799,0.894,1.089,1.269,1.394,1.668,5.262,1.027
180,119.800,1.049,0.667,0.853,0.966,1.178,1.420,1.622,2.035,2.874,0.953
185,116.400,1.648,0.694,0.827,0.949,1.176,1.387,1.584,5.466,137.273,0.607
190,129.000,1.044,0.667,0.825,0.942,1.170,1.407,1.590,2.211,5.613,0.958
195,126.800,1.017,0.639,0.811,0.918,1.131,1.316,1.482,2.009,5.820,0.983
200,130.200,1.025,0.713,0.836,0.932,1.141,1.337,1.468,2.132,6.292,0.976
205,122.000,0.989,0.688,0.841,0.923,1.090,1.274,1.408,1.735,2.203,1.011
210,112.000,1.798,0.706,0.850,0.947,1.165,1.363,1.558,2.910,144.137,0.556
215,88.400,2.317,0.757,0.903,0.994,1.243,1.478,1.616,7.379,144.758,0.432
220,111.600,1.075,0.689,0.874,0.986,1.210,1.447,1.554,2.083,2.429,0.930
225,115.200,1.081,0.714,0.871,1.005,1.205,1.417,1.588,2.126,5.489,0.925
230,127.000,1.024,0.699,0.827,0.929,1.166,1.388,1.532,1.823,2.523,0.976
235,124.400,1.041,0.689,0.829,0.941,1.157,1.350,1.570,2.376,6.488,0.960
240,120.400,0.996,0.679,0.806,0.907,1.104,1.308,1.496,1.813,5.476,1.004
245,91.600,2.436,0.712,0.933,1.155,1.423,1.744,2.110,3.174,208.114,0.411
250,117.200,1.212,0.683,0.932,1.133,1.339,1.643,1.858,2.868,6.036,0.825
255,82.600,4.406,0.696,1.031,1.213,1.488,1.818,2.183,4.946,937.344,0.227
260,107.800,1.377,0.719,1.051,1.239,1.548,2.001,2.360,3.866,5.677,0.726
265,93.600,2.069,0.722,1.020,1.208,1.530,1.964,2.355,5.403,145.386,0.483
270,105.600,2.144,0.694,0.965,1.120,1.396,1.751,2.081,2.922,226.141,0.467
275,121.800,1.189,0.693,0.990,1.122,1.353,1.621,1.781,2.200,2.548,0.841
280,116.600,1.206,0.692,0.981,1.147,1.355,1.627,1.844,2.342,5.626,0.829
285,123.600,1.238,0.719,0.973,1.142,1.378,1.707,1.966,2.597,6.907,0.808
290,111.200,1.264,0.687,1.010,1.157,1.381,1.751,2.029,2.802,6.261,0.791
295,68.400,5.182,0.727,1.010,1.161,1.367,1.693,1.891,38.490,659.459,0.193
300,23.200,1.348,0.753,1.072,1.209,1.459,1.826,2.266,2.630,7.242,0.742
