Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,127.000,2.173,0.266,0.344,0.944,1.560,2.308,2.880,5.978,284.462,0.460
5,197.400,1.886,0.266,0.338,0.934,1.416,1.859,2.463,5.504,268.360,0.530
10,156.800,2.554,0.273,0.335,0.491,1.332,1.793,2.142,7.364,766.375,0.392
15,202.000,1.059,0.281,0.345,0.960,1.511,1.981,2.381,4.768,8.001,0.945
20,205.800,0.985,0.275,0.342,0.921,1.388,1.853,2.200,4.204,6.471,1.015
25,201.000,0.970,0.277,0.344,0.978,1.414,1.775,1.975,3.515,5.183,1.031
30,117.600,5.084,0.257,0.340,0.986,1.329,1.706,2.224,209.693,286.497,0.197
35,204.800,0.980,0.274,0.346,0.976,1.403,1.761,2.055,3.149,9.650,1.021
40,206.200,0.989,0.269,0.340,0.958,1.443,1.828,2.192,4.083,5.551,1.012
45,165.400,0.916,0.266,0.335,0.892,1.332,1.707,1.899,2.395,17.467,1.092
50,211.000,0.998,0.270,0.348,0.991,1.427,1.842,2.225,3.353,9.798,1.002
55,194.800,1.063,0.265,0.353,1.006,1.474,1.961,2.424,4.672,7.171,0.941
60,173.400,1.314,0.267,0.341,0.858,1.246,1.626,1.897,2.445,276.803,0.761
65,167.800,2.606,0.266,0.336,0.849,1.193,1.498,1.730,120.736,214.273,0.384
70,216.400,0.830,0.256,0.336,0.878,1.201,1.466,1.642,2.407,5.719,1.205
75,214.200,0.832,0.271,0.335,0.833,1.177,1.477,1.708,3.066,5.411,1.202
80,217.400,0.996,0.269,0.336,0.883,1.183,1.518,1.801,3.060,68.612,1.004
85,218.600,0.827,0.276,0.341,0.834,1.200,1.510,1.703,2.547,4.419,1.210
90,230.400,0.827,0.271,0.335,0.868,1.194,1.487,1.698,2.413,4.936,1.208
95,93.200,4.159,0.282,0.345,0.942,1.386,1.850,2.324,181.968,217.159,0.240
100,213.800,0.880,0.281,0.341,0.909,1.284,1.661,1.926,2.624,5.457,1.136
105,207.400,0.985,0.275,0.351,0.987,1.375,1.778,2.058,3.697,6.502,1.016
110,193.200,1.038,0.284,0.352,0.997,1.477,1.973,2.362,3.843,5.825,0.963
115,194.200,1.172,0.276,0.349,0.981,1.608,2.297,3.235,6.276,9.820,0.853
120,198.400,0.974,0.260,0.343,0.926,1.401,1.841,2.103,3.534,7.633,1.026
125,199.400,0.967,0.269,0.342,0.951,1.416,1.790,2.087,3.491,6.613,1.034
130,92.800,5.338,0.285,0.344,0.983,1.549,1.967,2.846,49.487,942.476,0.187
135,134.000,1.161,0.281,0.352,1.001,1.563,2.141,2.578,5.097,26.873,0.861
140,183.400,1.080,0.264,0.354,1.024,1.558,1.995,2.349,4.234,10.191,0.926
145,211.200,1.002,0.269,0.343,0.987,1.410,1.763,2.191,4.160,9.517,0.998
150,198.200,0.994,0.271,0.339,0.958,1.412,1.809,2.175,4.054,8.324,1.006
155,103.600,2.905,0.269,0.344,0.949,1.531,2.090,2.896,5.994,430.867,0.344
160,205.200,0.984,0.268,0.342,0.889,1.397,1.893,2.296,3.898,7.683,1.017
165,150.600,2.884,0.277,0.351,1.005,1.533,1.983,2.388,3.307,769.322,0.347
170,209.000,0.935,0.263,0.341,0.920,1.360,1.781,2.101,3.336,5.608,1.070
175,197.600,1.006,0.262,0.343,0.930,1.413,1.907,2.337,4.367,7.565,0.994
180,214.200,0.974,0.267,0.337,0.876,1.399,1.856,2.228,4.151,6.802,1.027
185,115.200,6.721,0.266,0.341,0.808,1.558,2.204,3.612,212.070,283.604,0.149
190,205.200,0.951,0.272,0.343,0.885,1.345,1.792,2.146,3.593,7.037,1.052
195,140.400,1.415,0.277,0.350,0.958,1.491,1.874,2.244,3.539,288.560,0.707
200,206.800,0.925,0.271,0.339,0.917,1.353,1.744,2.075,2.875,4.580,1.081
205,212.000,0.955,0.272,0.340,0.930,1.374,1.753,2.057,3.561,7.880,1.047
210,197.400,1.014,0.264,0.345,0.912,1.394,1.823,2.260,5.030,10.928,0.986
215,149.000,2.778,0.289,0.350,1.011,1.538,2.095,2.527,7.836,345.925,0.360
220,167.800,1.679,0.277,0.354,0.976,1.488,1.997,2.492,5.249,208.002,0.596
225,200.200,0.974,0.283,0.347,0.898,1.367,1.855,2.270,3.490,5.765,1.026
230,140.800,3.027,0.265,0.342,0.793,1.428,1.858,2.188,3.322,923.391,0.330
235,200.800,1.012,0.278,0.347,0.940,1.430,1.884,2.223,4.041,9.076,0.988
240,200.600,1.048,0.267,0.342,1.004,1.487,1.918,2.266,4.652,8.442,0.954
245,142.200,1.766,0.266,0.346,0.973,1.405,1.788,2.266,4.208,205.514,0.566
250,209.600,0.938,0.264,0.341,0.896,1.401,1.735,2.100,3.076,5.173,1.066
255,197.200,0.989,0.273,0.348,0.962,1.441,1.879,2.107,3.311,7.757,1.012
260,122.200,3.731,0.262,0.347,0.962,1.564,2.089,2.649,8.642,641.050,0.268
265,197.400,1.044,0.276,0.351,1.038,1.459,1.967,2.344,4.073,5.326,0.958
270,205.600,0.994,0.275,0.347,0.907,1.451,1.867,2.326,3.709,6.495,1.006
275,190.600,1.091,0.276,0.346,0.960,1.392,1.803,2.143,3.050,127.726,0.916
280,147.000,3.149,0.273,0.347,1.009,1.527,2.027,2.577,136.971,279.757,0.318
285,199.800,1.025,0.274,0.342,0.960,1.455,1.925,2.356,4.221,10.379,0.975
290,195.400,0.991,0.263,0.350,0.892,1.419,1.915,2.376,3.742,5.598,1.009
295,112.000,1.096,0.274,0.351,0.938,1.582,2.163,2.591,5.268,8.962,0.913
