Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,118.000,0.747,0.575,0.674,0.715,0.775,0.885,1.017,1.131,2.816,1.338
5,179.200,0.728,0.580,0.683,0.714,0.754,0.819,0.855,0.943,3.863,1.373
10,142.800,0.735,0.598,0.690,0.721,0.762,0.811,0.852,0.978,4.099,1.360
15,196.600,0.746,0.553,0.683,0.720,0.769,0.869,0.921,1.082,4.271,1.340
20,204.200,0.722,0.593,0.684,0.714,0.750,0.803,0.843,0.924,1.126,1.385
25,199.800,0.730,0.593,0.683,0.713,0.750,0.801,0.838,0.971,5.265,1.371
30,119.600,0.721,0.588,0.679,0.708,0.750,0.807,0.855,0.964,1.154,1.387
35,212.000,0.727,0.585,0.684,0.715,0.748,0.794,0.830,0.895,4.542,1.375
40,212.400,0.738,0.591,0.687,0.717,0.752,0.811,0.843,0.981,4.442,1.355
45,155.200,0.723,0.589,0.682,0.711,0.747,0.793,0.843,0.938,4.275,1.383
50,194.600,0.746,0.602,0.697,0.732,0.781,0.841,0.896,1.005,1.142,1.341
55,198.400,0.742,0.559,0.685,0.724,0.779,0.849,0.914,1.021,4.004,1.347
60,168.200,0.733,0.595,0.686,0.724,0.762,0.809,0.845,0.973,3.864,1.365
65,178.400,0.723,0.582,0.679,0.708,0.744,0.793,0.827,0.940,4.841,1.384
70,202.800,0.720,0.590,0.684,0.717,0.751,0.797,0.825,0.905,0.993,1.389
75,207.400,0.729,0.590,0.682,0.714,0.752,0.805,0.865,0.998,4.786,1.372
80,210.000,0.714,0.587,0.677,0.702,0.738,0.787,0.831,1.002,1.213,1.400
85,208.000,0.738,0.585,0.681,0.711,0.745,0.799,0.851,1.025,4.915,1.354
90,211.600,0.725,0.588,0.682,0.711,0.748,0.798,0.825,0.954,4.439,1.379
95,99.400,0.730,0.598,0.688,0.718,0.763,0.813,0.857,0.991,1.175,1.369
100,205.400,0.720,0.558,0.674,0.706,0.743,0.796,0.835,0.948,4.760,1.389
