Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,852.600,10.120,1.757,2.731,3.250,4.191,5.637,7.448,215.445,1455.494,0.099
5,1285.800,3.895,1.761,2.644,2.993,3.551,4.532,5.445,8.555,501.117,0.257
10,1006.800,7.434,1.859,2.638,2.970,3.468,4.276,5.163,10.238,1371.584,0.135
15,1408.000,3.460,1.731,2.721,3.127,3.805,4.755,5.673,8.065,27.555,0.289
20,1446.200,3.211,1.795,2.607,2.923,3.413,4.346,5.286,7.473,17.458,0.311
25,1462.600,3.183,1.703,2.617,2.940,3.410,4.222,5.076,7.152,13.309,0.314
30,919.200,8.769,1.780,2.486,2.769,3.196,4.048,5.163,209.294,1523.535,0.114
35,1446.400,3.212,1.704,2.660,2.988,3.463,4.203,4.964,6.897,12.279,0.311
40,1456.600,3.185,1.855,2.614,2.951,3.409,4.180,5.018,7.247,13.548,0.314
45,1106.600,6.282,1.826,2.541,2.851,3.305,4.069,5.012,12.319,1241.843,0.159
50,1404.400,3.360,1.844,2.706,3.099,3.658,4.541,5.393,7.551,14.157,0.298
55,1397.800,3.473,1.753,2.721,3.172,3.831,4.825,5.767,8.361,14.759,0.288
60,1184.400,5.709,1.762,2.579,2.954,3.449,4.226,5.082,138.240,724.681,0.175
65,1257.200,4.420,1.772,2.429,2.704,3.078,3.730,4.478,68.072,436.514,0.226
70,1516.600,2.915,1.758,2.475,2.749,3.113,3.730,4.245,5.912,8.729,0.343
75,1495.000,2.922,1.783,2.446,2.750,3.166,3.781,4.320,6.012,8.555,0.342
80,1493.400,3.016,1.734,2.371,2.646,3.055,3.707,4.301,6.248,107.096,0.332
85,1507.000,2.878,1.807,2.436,2.705,3.073,3.643,4.246,5.923,10.622,0.347
90,1517.600,2.859,1.717,2.420,2.695,3.086,3.654,4.152,5.762,8.946,0.350
95,666.000,14.227,1.627,2.581,2.928,3.444,4.471,6.853,294.588,1627.605,0.070
100,1475.600,3.078,1.624,2.545,2.859,3.344,4.052,4.694,6.589,13.011,0.325
105,1424.200,3.239,1.823,2.652,3.015,3.517,4.298,5.046,7.053,13.329,0.309
110,1403.400,3.429,1.684,2.723,3.171,3.809,4.722,5.574,7.206,12.500,0.292
115,1338.800,3.805,1.818,2.829,3.333,4.274,5.682,6.797,9.813,28.730,0.263
120,1416.000,3.359,1.776,2.697,3.099,3.659,4.632,5.432,7.356,15.388,0.298
125,1433.800,3.237,1.827,2.657,3.003,3.500,4.327,5.010,7.053,15.284,0.309
130,664.000,17.530,1.830,2.738,3.127,3.748,4.924,6.393,576.349,2963.315,0.057
135,944.600,6.760,1.723,2.851,3.315,4.030,5.139,6.099,11.022,1132.983,0.148
140,1388.400,3.565,1.785,2.819,3.241,3.908,5.005,5.983,8.145,15.512,0.281
145,1468.200,3.178,1.764,2.593,2.929,3.430,4.254,4.963,7.034,13.735,0.315
150,1431.200,3.344,1.872,2.673,3.062,3.647,4.534,5.447,7.507,14.678,0.299
155,720.400,13.555,1.890,2.817,3.277,3.963,5.576,8.250,289.952,1162.649,0.074
160,1413.600,3.381,1.751,2.717,3.121,3.675,4.610,5.426,7.582,13.722,0.296
165,1041.600,6.593,1.879,2.807,3.199,3.744,4.514,5.409,11.596,1109.388,0.152
170,1416.400,3.279,1.879,2.682,3.021,3.550,4.376,5.200,7.215,11.405,0.305
175,1440.200,3.310,1.768,2.641,3.002,3.581,4.650,5.394,7.353,16.962,0.302
180,1407.800,3.375,1.840,2.697,3.070,3.673,4.603,5.498,7.751,17.876,0.296
185,762.200,11.409,1.732,2.719,3.127,3.734,4.944,7.262,284.533,756.348,0.088
190,1430.200,3.291,1.679,2.644,3.027,3.615,4.450,5.268,7.294,11.546,0.304
195,988.200,7.703,1.834,2.743,3.152,3.711,4.653,5.564,10.563,1437.924,0.130
200,1460.800,3.153,1.826,2.605,2.936,3.407,4.205,4.854,6.483,13.850,0.317
205,1475.600,3.108,1.675,2.584,2.893,3.331,4.043,4.718,6.878,14.690,0.322
210,1437.800,3.332,1.526,2.661,3.035,3.618,4.602,5.445,7.699,14.062,0.300
215,1012.200,7.151,1.834,2.838,3.302,3.997,5.133,6.388,144.772,1094.495,0.140
220,1204.400,4.731,1.841,2.745,3.147,3.753,4.780,5.884,10.403,443.492,0.211
225,1418.000,3.346,1.627,2.694,3.095,3.655,4.510,5.242,7.515,14.358,0.299
230,943.400,7.842,1.874,2.657,3.065,3.703,4.574,5.313,8.138,1662.417,0.128
235,1429.000,3.395,1.686,2.741,3.104,3.671,4.625,5.535,7.742,17.488,0.295
240,1399.200,3.384,1.733,2.713,3.100,3.685,4.639,5.519,7.686,13.143,0.296
245,916.200,8.831,1.568,2.579,2.921,3.451,4.503,5.618,216.222,845.153,0.113
250,1441.200,3.249,1.684,2.648,2.986,3.509,4.360,5.126,7.130,11.558,0.308
255,1381.400,3.499,1.791,2.791,3.211,3.819,4.779,5.705,7.707,21.050,0.286
260,860.400,9.314,1.873,2.873,3.342,4.112,5.388,6.614,47.761,1076.838,0.107
265,1380.600,3.460,1.851,2.805,3.197,3.778,4.667,5.489,7.366,11.926,0.289
270,1411.000,3.342,1.880,2.730,3.103,3.628,4.489,5.316,7.102,10.547,0.299
275,1314.400,4.505,1.761,2.689,3.098,3.706,4.681,5.723,9.063,723.370,0.222
280,1053.200,5.975,1.921,2.787,3.171,3.759,4.981,6.217,134.335,637.942,0.167
285,1412.400,3.441,1.772,2.709,3.100,3.791,4.866,5.764,8.022,15.212,0.291
290,1397.600,3.421,1.839,2.763,3.149,3.715,4.601,5.377,7.703,20.729,0.292
295,767.000,12.479,1.798,2.901,3.401,4.108,5.169,6.349,264.408,2139.443,0.080
