Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,24797.400,0.810,0.404,0.650,0.764,0.918,1.096,1.225,1.540,4.737,1.235
5,24455.400,0.805,0.410,0.646,0.759,0.910,1.085,1.209,1.533,5.545,1.242
10,21696.800,0.831,0.402,0.652,0.777,0.932,1.113,1.240,1.596,65.104,1.204
15,7429.600,0.806,0.407,0.640,0.764,0.921,1.096,1.221,1.513,6.186,1.241
20,25380.400,0.775,0.402,0.618,0.726,0.880,1.056,1.184,1.496,6.513,1.290
25,26905.600,0.771,0.406,0.618,0.726,0.873,1.040,1.160,1.464,5.324,1.298
30,26056.000,0.790,0.398,0.634,0.743,0.895,1.068,1.190,1.514,5.152,1.265
35,27493.000,0.758,0.399,0.596,0.710,0.864,1.043,1.171,1.506,5.699,1.319
40,15745.000,0.773,0.403,0.610,0.727,0.883,1.058,1.182,1.495,5.326,1.293
45,16028.400,0.800,0.399,0.649,0.758,0.903,1.069,1.185,1.467,5.499,1.251
50,25654.600,0.813,0.400,0.663,0.773,0.915,1.081,1.196,1.477,5.193,1.230
55,26202.600,0.805,0.407,0.655,0.764,0.906,1.068,1.183,1.476,5.190,1.242
60,25945.400,0.812,0.405,0.656,0.769,0.918,1.086,1.208,1.525,5.179,1.231
65,26345.800,0.802,0.410,0.650,0.761,0.906,1.071,1.189,1.483,5.329,1.246
70,14253.400,0.811,0.403,0.656,0.771,0.918,1.085,1.198,1.477,5.918,1.233
75,17885.800,0.790,0.405,0.634,0.742,0.888,1.052,1.171,1.474,81.985,1.265
80,25367.800,0.804,0.408,0.652,0.762,0.907,1.073,1.188,1.477,5.204,1.244
85,24540.000,0.833,0.408,0.679,0.789,0.935,1.101,1.222,1.520,5.520,1.201
90,26796.000,0.777,0.404,0.613,0.728,0.884,1.063,1.192,1.522,6.275,1.288
95,15266.600,0.870,0.399,0.696,0.821,0.983,1.166,1.307,1.727,6.599,1.150
100,25626.600,0.824,0.398,0.664,0.780,0.930,1.103,1.230,1.573,5.587,1.213
105,13962.000,0.808,0.403,0.647,0.763,0.918,1.090,1.216,1.543,5.108,1.237
110,25160.200,0.803,0.409,0.637,0.754,0.911,1.094,1.229,1.561,5.243,1.245
115,25055.800,0.818,0.407,0.651,0.770,0.926,1.106,1.241,1.577,5.585,1.223
120,17985.800,0.824,0.400,0.664,0.779,0.932,1.104,1.231,1.541,6.930,1.214
125,24095.200,0.838,0.407,0.677,0.792,0.944,1.119,1.244,1.556,5.565,1.194
130,9418.400,0.813,0.408,0.654,0.761,0.918,1.097,1.224,1.548,4.730,1.230
135,23697.400,0.846,0.424,0.689,0.801,0.949,1.118,1.239,1.548,6.486,1.182
140,23941.000,0.840,0.414,0.680,0.795,0.947,1.119,1.243,1.549,5.411,1.191
145,24151.800,0.837,0.413,0.681,0.796,0.943,1.112,1.232,1.537,5.424,1.194
150,24209.000,0.785,0.400,0.625,0.737,0.892,1.072,1.202,1.533,5.273,1.273
155,6113.000,0.775,0.412,0.601,0.714,0.882,1.077,1.213,1.620,5.594,1.289
160,26431.200,0.795,0.401,0.644,0.753,0.899,1.062,1.180,1.470,5.643,1.258
165,25416.600,0.826,0.408,0.673,0.785,0.930,1.096,1.216,1.510,5.106,1.211
170,25416.000,0.816,0.407,0.662,0.774,0.920,1.087,1.210,1.498,5.305,1.226
175,24563.200,0.828,0.405,0.671,0.785,0.933,1.105,1.226,1.536,5.120,1.207
180,12602.600,0.833,0.396,0.659,0.770,0.921,1.099,1.225,1.543,143.236,1.201
185,18585.000,0.808,0.407,0.645,0.761,0.917,1.101,1.233,1.559,5.608,1.237
190,26141.600,0.817,0.401,0.659,0.774,0.925,1.098,1.224,1.530,6.561,1.223
195,26329.200,0.822,0.395,0.665,0.782,0.931,1.098,1.218,1.517,5.582,1.216
200,25709.000,0.834,0.406,0.671,0.790,0.945,1.120,1.248,1.567,5.042,1.199
205,15660.200,0.813,0.407,0.652,0.772,0.925,1.098,1.226,1.534,6.569,1.230
210,25843.800,0.834,0.405,0.675,0.791,0.940,1.113,1.235,1.556,7.502,1.199
215,24880.600,0.870,0.402,0.698,0.822,0.984,1.169,1.305,1.674,5.648,1.149
220,22245.600,0.829,0.400,0.669,0.788,0.940,1.110,1.231,1.537,5.266,1.206
225,14848.400,0.779,0.400,0.619,0.733,0.890,1.062,1.185,1.480,5.151,1.284
230,25979.200,0.831,0.403,0.667,0.787,0.943,1.119,1.247,1.564,5.820,1.204
235,24992.000,0.844,0.401,0.673,0.800,0.959,1.140,1.278,1.614,6.081,1.184
240,25268.000,0.846,0.410,0.688,0.804,0.953,1.121,1.242,1.543,5.387,1.182
245,25837.600,0.839,0.402,0.680,0.798,0.947,1.122,1.250,1.569,5.017,1.191
250,25417.800,0.845,0.405,0.686,0.802,0.954,1.123,1.245,1.543,5.721,1.184
255,10939.000,0.809,0.410,0.651,0.771,0.918,1.080,1.200,1.490,5.261,1.237
260,26184.200,0.825,0.408,0.662,0.781,0.934,1.109,1.238,1.562,5.441,1.212
265,13136.600,0.827,0.400,0.663,0.784,0.939,1.119,1.245,1.562,5.266,1.209
270,26549.600,0.811,0.403,0.652,0.769,0.919,1.092,1.218,1.517,5.289,1.232
275,22026.800,0.819,0.404,0.658,0.775,0.928,1.103,1.230,1.559,5.954,1.221
280,24765.600,0.832,0.410,0.674,0.788,0.937,1.107,1.231,1.539,5.493,1.202
285,24420.000,0.827,0.403,0.668,0.783,0.933,1.105,1.228,1.529,5.116,1.209
290,24809.800,0.831,0.404,0.669,0.786,0.938,1.113,1.245,1.571,4.882,1.204
295,5878.200,0.739,0.401,0.573,0.684,0.832,1.014,1.138,1.460,130.237,1.353
