Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,19404.600,0.822,0.298,0.572,0.605,0.656,0.843,2.829,4.109,16.047,1.217
5,19271.800,0.829,0.295,0.568,0.600,0.648,0.864,2.870,4.336,55.782,1.207
10,20081.600,0.795,0.312,0.567,0.597,0.642,0.797,2.732,3.919,14.236,1.257
15,20408.200,0.783,0.309,0.566,0.594,0.637,0.783,2.609,3.720,13.171,1.277
20,20446.600,0.782,0.303,0.568,0.595,0.634,0.763,2.613,3.781,14.947,1.279
25,9418.800,1.698,0.313,0.568,0.600,0.646,0.819,2.744,4.222,2415.160,0.589
30,19830.800,0.806,0.310,0.569,0.599,0.644,0.819,2.769,4.043,9.122,1.241
35,20553.600,0.777,0.300,0.562,0.592,0.637,0.780,2.581,3.647,12.685,1.286
40,20394.000,0.784,0.296,0.567,0.594,0.633,0.772,2.637,3.734,11.723,1.276
45,20390.800,0.784,0.298,0.567,0.594,0.629,0.772,2.652,3.729,10.685,1.276
50,19589.000,0.816,0.287,0.576,0.607,0.652,0.813,2.813,4.115,12.824,1.226
55,20120.800,0.794,0.292,0.565,0.596,0.642,0.786,2.704,3.925,11.151,1.259
60,18655.400,0.857,0.308,0.562,0.596,0.646,0.843,2.808,4.134,294.800,1.167
65,8334.000,1.919,0.296,0.567,0.599,0.652,0.826,2.755,4.317,2530.101,0.521
70,19522.800,0.819,0.298,0.567,0.599,0.649,0.823,2.689,4.015,118.779,1.221
75,20096.400,0.795,0.299,0.561,0.595,0.647,0.831,2.641,3.951,15.620,1.258
80,11788.800,1.356,0.311,0.568,0.607,0.671,0.838,2.839,4.376,1148.267,0.737
85,19666.800,0.813,0.312,0.565,0.601,0.656,0.846,2.823,4.054,10.467,1.231
90,17881.600,0.924,0.295,0.569,0.598,0.643,0.802,2.673,3.818,702.466,1.082
95,18916.000,0.816,0.305,0.561,0.592,0.641,0.814,2.662,3.875,222.633,1.225
100,20738.800,0.771,0.287,0.558,0.587,0.629,0.803,2.549,3.599,12.624,1.298
105,20078.600,0.796,0.304,0.560,0.591,0.636,0.810,2.676,3.920,47.743,1.256
110,19705.000,0.811,0.291,0.571,0.603,0.653,0.824,2.764,4.048,54.915,1.233
115,20081.000,0.796,0.305,0.566,0.598,0.645,0.802,2.694,3.824,11.729,1.257
120,5619.600,2.846,0.327,0.571,0.608,0.658,0.820,3.001,5.260,3260.612,0.351
125,17284.400,0.925,0.304,0.571,0.606,0.658,0.817,2.962,4.383,434.221,1.081
130,19124.400,0.836,0.310,0.569,0.602,0.654,0.857,2.986,4.418,21.070,1.196
135,19021.200,0.840,0.298,0.567,0.602,0.662,0.847,2.993,4.530,21.983,1.190
140,19279.600,0.829,0.314,0.573,0.606,0.656,0.809,2.946,4.265,13.310,1.206
145,18759.000,0.852,0.316,0.573,0.611,0.665,0.816,3.042,4.678,21.499,1.174
150,19740.800,0.810,0.294,0.553,0.588,0.653,0.884,2.754,4.229,13.487,1.235
155,4912.800,3.255,0.308,0.549,0.590,0.677,0.965,3.001,6.588,2487.822,0.307
160,19587.000,0.816,0.301,0.546,0.582,0.653,0.911,2.783,4.407,12.560,1.225
165,19193.000,0.833,0.295,0.552,0.588,0.655,1.009,2.855,4.621,13.000,1.201
170,19749.400,0.809,0.298,0.573,0.605,0.653,0.803,2.759,3.979,12.304,1.236
175,19551.200,0.817,0.299,0.568,0.601,0.653,0.798,2.820,4.241,13.983,1.223
180,15617.600,1.112,0.308,0.570,0.601,0.647,0.794,2.912,4.416,1962.639,0.899
185,12384.800,1.180,0.320,0.563,0.595,0.649,0.795,2.740,4.161,1704.825,0.848
190,17187.800,0.930,0.315,0.563,0.593,0.640,0.776,2.762,4.140,704.855,1.075
195,19235.800,0.831,0.318,0.571,0.602,0.647,0.781,2.938,4.508,15.912,1.204
200,19309.800,0.828,0.305,0.568,0.601,0.655,0.816,2.873,4.415,16.592,1.208
205,19707.200,0.811,0.303,0.568,0.597,0.646,0.793,2.821,4.118,16.309,1.233
210,19203.200,0.833,0.294,0.568,0.599,0.650,0.800,2.889,4.575,18.095,1.201
215,11166.200,1.517,0.317,0.568,0.598,0.646,0.801,2.875,4.481,2179.897,0.659
220,17282.000,0.870,0.308,0.564,0.593,0.641,0.777,2.736,4.093,658.015,1.150
225,16971.000,0.942,0.312,0.569,0.597,0.643,0.785,2.807,4.156,720.784,1.062
230,19813.400,0.807,0.300,0.569,0.600,0.648,0.788,2.806,4.038,13.538,1.240
235,19593.600,0.816,0.308,0.571,0.601,0.646,0.791,2.827,4.095,14.752,1.226
240,19887.200,0.804,0.311,0.568,0.597,0.641,0.780,2.782,4.027,13.015,1.244
245,19658.000,0.813,0.301,0.569,0.598,0.642,0.791,2.859,4.107,13.404,1.231
250,8964.400,1.784,0.317,0.574,0.607,0.659,0.839,3.072,4.962,2175.836,0.561
255,19586.000,0.816,0.296,0.568,0.598,0.647,0.831,2.840,4.208,13.933,1.225
260,16353.200,0.977,0.301,0.568,0.600,0.647,0.787,2.767,4.009,744.617,1.023
265,19782.800,0.808,0.304,0.567,0.597,0.640,0.784,2.806,4.067,10.515,1.238
270,20181.000,0.792,0.297,0.561,0.591,0.634,0.782,2.732,3.863,10.478,1.263
275,19958.800,0.801,0.315,0.570,0.599,0.644,0.781,2.762,3.913,11.042,1.249
280,19676.000,0.812,0.306,0.571,0.601,0.644,0.786,2.846,4.095,12.533,1.231
285,19203.800,0.833,0.293,0.570,0.602,0.654,0.818,2.930,4.352,54.436,1.201
290,9203.400,1.737,0.310,0.571,0.605,0.658,0.840,2.856,4.268,2456.769,0.576
295,16863.800,0.948,0.300,0.570,0.602,0.653,0.808,2.832,4.207,709.524,1.055
300,3983.800,0.801,0.321,0.567,0.595,0.637,0.770,2.771,4.105,11.729,1.249
