Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,247.800,1.564,0.423,0.551,1.379,2.202,2.962,3.606,5.581,12.229,0.639
5,252.600,1.536,0.415,0.548,1.335,2.130,2.951,3.421,6.227,12.440,0.651
10,92.000,16.660,0.434,0.556,1.391,2.172,3.027,4.298,977.044,1606.798,0.060
15,219.200,2.665,0.437,0.541,1.359,2.190,3.120,4.066,6.822,643.327,0.375
20,258.000,1.518,0.424,0.551,1.359,2.123,2.857,3.601,5.103,10.088,0.659
25,257.400,1.464,0.436,0.547,1.255,1.889,2.528,3.116,5.902,30.782,0.683
30,259.800,1.413,0.431,0.552,1.359,1.994,2.507,3.083,4.267,6.623,0.708
35,167.400,3.168,0.429,0.549,1.304,2.036,2.749,3.593,8.306,348.600,0.316
40,131.800,5.649,0.428,0.542,1.348,2.152,3.044,3.956,67.641,1300.726,0.177
45,259.000,1.406,0.415,0.549,1.224,2.002,2.578,3.176,4.424,10.439,0.711
50,258.200,1.418,0.415,0.554,1.255,1.961,2.698,3.212,4.770,7.599,0.705
55,181.200,3.644,0.437,0.555,1.287,2.012,2.611,3.149,5.368,352.345,0.274
60,285.600,1.423,0.423,0.541,1.230,1.979,2.614,3.205,4.985,9.740,0.703
65,112.800,12.231,0.435,0.562,1.384,2.313,3.195,3.984,246.479,2421.897,0.082
70,282.800,1.374,0.426,0.543,1.209,1.874,2.539,3.106,5.098,11.469,0.728
75,267.400,1.385,0.414,0.540,1.226,1.889,2.474,3.071,5.021,13.142,0.722
80,240.600,2.521,0.421,0.554,1.256,1.894,2.590,3.350,6.131,507.403,0.397
85,278.600,1.272,0.416,0.533,1.086,1.770,2.311,2.834,4.080,14.304,0.786
90,259.400,1.462,0.408,0.546,1.340,1.997,2.763,3.343,5.270,8.335,0.684
95,97.200,7.762,0.430,0.552,1.340,2.100,2.668,3.103,7.076,1643.148,0.129
100,241.800,2.319,0.427,0.548,1.489,2.233,3.009,3.586,5.798,217.312,0.431
105,275.600,1.431,0.436,0.541,1.196,1.967,2.737,3.271,5.542,11.655,0.699
110,260.800,1.513,0.418,0.547,1.453,2.058,2.744,3.411,5.056,10.431,0.661
115,254.800,1.364,0.403,0.540,1.310,1.910,2.490,2.967,4.192,5.646,0.733
120,154.200,3.170,0.427,0.547,1.300,2.108,2.793,3.481,5.728,1165.951,0.315
125,144.200,1.664,0.429,0.550,1.482,2.167,2.793,3.466,4.515,102.385,0.601
