Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25059.400,1.273,0.423,0.728,0.857,1.106,1.657,4.017,8.351,45.490,0.785
5,25664.200,1.244,0.415,0.708,0.836,1.084,1.620,3.892,7.943,54.176,0.804
10,9141.800,4.099,0.434,0.717,0.848,1.106,1.651,3.985,8.357,4280.413,0.244
15,20025.200,1.321,0.437,0.704,0.828,1.068,1.661,4.073,8.340,807.999,0.757
20,25084.200,1.274,0.424,0.727,0.857,1.114,1.659,4.003,8.057,55.503,0.785
25,25521.000,1.252,0.436,0.709,0.862,1.156,1.749,3.759,7.394,49.030,0.799
30,26850.000,1.190,0.431,0.691,0.827,1.081,1.599,3.685,6.951,41.725,0.840
35,16725.600,2.042,0.429,0.690,0.819,1.068,1.613,3.823,8.035,2409.209,0.490
40,12500.000,2.384,0.428,0.715,0.840,1.095,1.646,3.892,8.738,2083.399,0.419
45,26165.800,1.222,0.415,0.711,0.841,1.093,1.612,3.784,7.394,56.383,0.818
50,25760.800,1.241,0.415,0.728,0.866,1.132,1.657,3.862,7.160,41.820,0.806
55,18679.400,1.711,0.437,0.714,0.844,1.099,1.609,3.802,7.178,1448.661,0.585
60,27306.800,1.170,0.423,0.675,0.799,1.038,1.577,3.697,7.070,40.404,0.854
65,11545.600,2.771,0.435,0.723,0.850,1.098,1.642,4.163,8.618,2745.926,0.361
70,27785.800,1.150,0.426,0.658,0.777,1.003,1.540,3.578,7.037,73.634,0.869
75,27987.800,1.142,0.414,0.653,0.770,0.988,1.533,3.597,7.046,58.531,0.876
80,23439.200,1.364,0.421,0.680,0.815,1.069,1.594,3.610,7.097,704.108,0.733
85,28790.600,1.110,0.416,0.648,0.773,1.007,1.524,3.344,6.307,52.745,0.901
