Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.000,0.941,0.867,0.921,0.935,0.958,0.990,1.009,1.104,1.104,1.063
5,13.200,0.918,0.846,0.874,0.896,0.928,1.015,1.102,1.279,1.279,1.090
10,9.800,0.949,0.869,0.899,0.924,0.976,1.055,1.124,1.178,1.178,1.054
15,10.400,0.948,0.851,0.895,0.910,0.961,1.101,1.153,1.380,1.380,1.055
20,9.200,0.933,0.855,0.888,0.907,0.953,1.016,1.127,1.184,1.184,1.072
25,10.000,0.927,0.855,0.883,0.904,0.927,1.036,1.154,1.338,1.338,1.079
30,8.400,0.963,0.846,0.921,0.955,0.992,1.062,1.106,1.146,1.146,1.038
35,10.200,0.953,0.852,0.913,0.942,0.974,1.028,1.099,1.235,1.235,1.050
40,10.000,0.944,0.872,0.908,0.933,0.964,1.006,1.035,1.151,1.151,1.059
45,10.400,0.971,0.903,0.943,0.963,1.003,1.029,1.052,1.061,1.061,1.030
50,11.000,0.971,0.899,0.937,0.963,1.004,1.037,1.057,1.074,1.074,1.030
55,10.400,0.943,0.908,0.925,0.935,0.950,0.967,1.016,1.064,1.064,1.061
60,13.400,0.948,0.904,0.927,0.942,0.962,0.986,0.997,1.081,1.081,1.055
65,13.200,0.954,0.909,0.932,0.942,0.966,1.008,1.020,1.072,1.072,1.048
70,11.600,0.949,0.906,0.929,0.948,0.959,0.983,1.026,1.049,1.049,1.053
75,11.800,0.955,0.907,0.929,0.951,0.970,0.997,1.020,1.076,1.076,1.047
80,11.600,0.949,0.902,0.928,0.942,0.962,0.987,1.002,1.065,1.065,1.054
85,7.600,0.957,0.897,0.935,0.946,0.967,1.005,1.041,1.187,1.187,1.045
90,11.200,0.942,0.912,0.926,0.939,0.955,0.969,0.978,1.010,1.010,1.062
95,10.000,0.945,0.894,0.929,0.938,0.951,0.982,0.984,1.055,1.055,1.059
100,9.600,0.936,0.907,0.922,0.931,0.950,0.971,0.972,1.003,1.003,1.068
105,9.200,0.944,0.892,0.926,0.941,0.958,0.972,0.983,1.085,1.085,1.060
110,10.000,0.953,0.893,0.931,0.944,0.971,1.011,1.023,1.076,1.076,1.049
115,6.800,0.959,0.906,0.929,0.944,0.964,1.042,1.051,1.105,1.105,1.043
120,11.000,0.969,0.906,0.943,0.966,0.995,1.019,1.031,1.035,1.035,1.032
125,9.000,0.972,0.912,0.946,0.967,0.996,1.012,1.033,1.068,1.068,1.029
130,12.400,0.962,0.894,0.935,0.948,0.990,1.021,1.037,1.064,1.064,1.039
135,10.400,0.951,0.900,0.934,0.947,0.970,0.989,1.001,1.041,1.041,1.051
