Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13357.000,0.901,0.733,0.858,0.888,0.921,0.966,1.005,1.138,3.593,1.110
5,13342.800,0.898,0.730,0.852,0.885,0.919,0.964,1.004,1.119,4.069,1.114
10,11926.400,0.906,0.719,0.852,0.887,0.928,0.989,1.044,1.215,4.364,1.104
15,12944.200,0.910,0.717,0.862,0.895,0.932,0.983,1.024,1.162,4.500,1.099
20,9783.400,0.905,0.723,0.847,0.884,0.927,0.995,1.073,1.217,4.080,1.105
25,9343.600,0.909,0.709,0.849,0.886,0.934,1.008,1.086,1.243,3.849,1.100
30,12889.200,0.913,0.718,0.862,0.897,0.937,0.990,1.031,1.154,4.246,1.096
35,12971.400,0.902,0.715,0.854,0.889,0.926,0.977,1.017,1.130,4.154,1.108
40,9777.600,0.907,0.735,0.857,0.891,0.929,0.982,1.026,1.175,4.057,1.103
45,12856.400,0.907,0.722,0.850,0.884,0.925,0.986,1.049,1.325,4.047,1.103
50,13083.400,0.901,0.706,0.838,0.876,0.920,0.999,1.101,1.296,3.821,1.110
55,13215.000,0.895,0.707,0.834,0.870,0.912,0.982,1.092,1.284,4.024,1.118
60,13087.800,0.899,0.734,0.850,0.883,0.923,0.976,1.016,1.128,4.140,1.112
65,7566.000,0.900,0.678,0.844,0.880,0.922,0.985,1.040,1.200,3.831,1.111
70,13077.000,0.901,0.712,0.842,0.878,0.919,0.994,1.094,1.245,4.160,1.109
75,12268.800,0.909,0.720,0.857,0.892,0.933,0.988,1.033,1.174,4.074,1.101
80,11421.600,0.905,0.677,0.853,0.889,0.932,0.986,1.026,1.142,4.068,1.104
85,12891.200,0.910,0.707,0.860,0.896,0.935,0.985,1.025,1.150,3.881,1.098
90,12921.600,0.907,0.725,0.859,0.892,0.931,0.984,1.025,1.150,4.151,1.102
95,12994.600,0.905,0.725,0.851,0.886,0.927,0.991,1.054,1.210,3.980,1.105
100,12841.800,0.900,0.698,0.852,0.887,0.922,0.971,1.009,1.130,3.955,1.111
105,13343.800,0.900,0.699,0.855,0.886,0.920,0.965,1.004,1.130,3.818,1.111
110,13277.600,0.898,0.726,0.853,0.885,0.920,0.967,1.009,1.109,4.050,1.113
115,7821.000,0.899,0.708,0.852,0.884,0.923,0.973,1.013,1.156,3.788,1.112
120,13236.000,0.901,0.723,0.852,0.885,0.922,0.974,1.019,1.155,4.132,1.110
125,13405.600,0.895,0.734,0.849,0.882,0.916,0.961,1.001,1.124,3.958,1.118
130,13369.000,0.896,0.705,0.851,0.882,0.915,0.960,1.001,1.163,3.840,1.116
135,10272.800,0.905,0.724,0.855,0.889,0.926,0.976,1.020,1.246,3.980,1.105
140,12647.000,0.902,0.746,0.854,0.885,0.922,0.973,1.017,1.205,3.896,1.109
145,13204.800,0.907,0.714,0.860,0.890,0.925,0.974,1.015,1.189,4.384,1.103
150,13180.800,0.903,0.701,0.854,0.887,0.924,0.975,1.019,1.200,4.332,1.107
155,13170.400,0.906,0.706,0.859,0.891,0.926,0.973,1.014,1.185,4.174,1.104
160,13081.200,0.909,0.744,0.862,0.895,0.930,0.979,1.022,1.158,4.022,1.100
165,8936.200,0.913,0.731,0.861,0.896,0.936,0.991,1.039,1.249,3.727,1.095
170,13423.800,0.895,0.739,0.850,0.880,0.915,0.961,1.002,1.161,3.910,1.117
175,13172.200,0.897,0.712,0.844,0.878,0.917,0.980,1.046,1.211,4.349,1.115
180,13088.400,0.900,0.708,0.838,0.875,0.922,1.004,1.083,1.229,3.840,1.111
185,13043.000,0.904,0.718,0.836,0.874,0.924,1.022,1.132,1.281,4.116,1.106
190,13225.800,0.900,0.722,0.848,0.882,0.919,0.974,1.030,1.245,4.582,1.111
195,10681.600,0.912,0.722,0.850,0.886,0.932,1.008,1.099,1.286,4.100,1.097
200,12875.400,0.909,0.716,0.855,0.890,0.933,0.996,1.049,1.206,4.047,1.100
205,6444.400,0.917,0.725,0.864,0.900,0.946,1.006,1.053,1.222,3.647,1.090
