Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,107.400,1.839,1.328,1.533,1.675,1.904,2.156,2.327,2.812,49.829,0.544
5,70.200,10.165,1.290,1.508,1.645,1.895,2.383,71.884,150.386,289.740,0.098
10,116.600,1.742,1.306,1.476,1.585,1.814,2.074,2.314,2.861,20.703,0.574
15,119.400,1.757,1.275,1.483,1.645,1.906,2.207,2.507,3.357,3.682,0.569
20,118.800,1.641,1.268,1.434,1.566,1.752,1.999,2.221,2.607,4.484,0.609
25,114.400,1.637,1.260,1.425,1.545,1.762,2.011,2.213,2.834,3.990,0.611
30,116.000,1.744,1.294,1.492,1.657,1.913,2.191,2.354,3.143,4.253,0.573
35,82.000,10.956,1.327,1.684,1.862,2.135,2.587,3.101,432.410,798.574,0.091
40,93.400,1.856,1.305,1.610,1.768,1.979,2.300,2.604,3.343,4.521,0.539
45,105.800,1.934,1.335,1.665,1.844,2.081,2.432,2.766,3.796,5.160,0.517
50,77.400,7.798,1.323,1.697,1.906,2.343,3.952,52.497,132.829,183.375,0.128
55,17.000,51.599,2.095,4.278,20.808,76.236,119.551,158.571,567.350,567.350,0.019
60,94.400,4.009,1.313,1.525,1.685,1.972,2.524,3.236,123.012,164.198,0.249
65,107.800,1.727,1.312,1.487,1.614,1.847,2.162,2.356,3.044,4.181,0.579
70,89.400,5.082,1.323,1.496,1.680,1.944,2.410,2.779,6.184,519.197,0.197
75,112.000,1.648,1.280,1.452,1.572,1.778,1.989,2.150,2.644,4.204,0.607
80,117.600,1.673,1.303,1.459,1.591,1.782,2.034,2.247,2.767,4.016,0.598
85,95.200,5.692,1.280,1.509,1.697,2.028,2.570,3.367,143.836,268.315,0.176
90,109.400,1.770,1.305,1.497,1.673,1.932,2.206,2.508,3.364,3.804,0.565
95,106.400,1.664,1.303,1.466,1.569,1.794,2.014,2.168,2.889,3.872,0.601
100,110.400,1.749,1.308,1.478,1.644,1.910,2.200,2.433,3.530,3.951,0.572
105,114.600,1.824,1.310,1.479,1.653,1.968,2.378,2.667,3.362,21.782,0.548
110,113.600,1.743,1.318,1.458,1.570,1.807,2.105,2.659,4.212,8.688,0.574
115,88.000,4.321,1.285,1.458,1.573,1.759,2.009,2.263,72.454,422.947,0.231
120,87.800,3.492,1.287,1.414,1.502,1.706,2.006,2.399,113.976,204.874,0.286
125,116.800,1.622,1.306,1.446,1.543,1.735,1.963,2.108,2.459,3.828,0.617
130,136.000,1.649,1.290,1.443,1.555,1.762,2.005,2.171,2.979,4.839,0.606
135,117.600,1.645,1.276,1.447,1.558,1.752,2.031,2.284,2.819,3.576,0.608
140,113.800,1.713,1.298,1.449,1.566,1.826,2.075,2.399,3.023,19.879,0.584
145,124.400,1.720,1.327,1.470,1.594,1.844,2.149,2.456,3.171,4.118,0.581
