Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,765.000,5.221,2.466,3.160,3.528,4.535,6.744,11.669,24.251,207.421,0.192
5,485.400,15.309,2.427,3.139,3.533,4.745,9.496,19.285,364.217,1527.113,0.065
10,795.200,4.469,2.405,3.106,3.476,4.408,6.441,10.740,18.616,49.384,0.224
15,793.400,4.611,2.358,3.197,3.706,4.609,6.804,11.336,16.049,80.280,0.217
20,801.400,4.249,2.292,3.062,3.426,4.306,5.840,9.999,15.054,29.253,0.235
25,804.200,4.164,2.335,2.963,3.282,4.155,5.882,10.457,14.816,38.314,0.240
30,792.200,4.641,2.372,3.119,3.516,4.521,7.016,11.933,21.422,65.881,0.215
35,584.200,13.000,2.418,3.290,3.713,4.997,8.485,13.544,290.526,1621.456,0.077
40,681.600,4.781,2.328,3.142,3.555,4.603,6.756,10.903,17.511,651.089,0.209
45,773.400,4.800,2.518,3.283,3.700,4.741,7.394,12.115,20.269,54.141,0.208
50,528.200,14.219,2.442,3.319,3.866,5.564,14.521,70.467,237.433,671.682,0.070
55,132.600,92.281,3.455,7.485,38.622,112.832,224.630,402.328,828.761,1119.674,0.011
60,676.000,6.832,2.418,3.250,3.669,4.888,8.337,14.652,71.847,381.867,0.146
65,795.800,4.618,2.382,3.112,3.486,4.520,7.174,12.077,19.138,53.798,0.217
70,646.200,8.442,2.328,3.145,3.574,4.884,8.328,13.813,25.232,897.156,0.118
75,812.200,4.437,2.340,3.069,3.426,4.305,6.498,11.015,20.071,41.971,0.225
80,806.200,4.560,2.333,3.036,3.426,4.279,6.163,11.984,25.757,66.089,0.219
85,652.800,7.782,2.411,3.227,3.904,5.092,7.534,13.191,100.794,612.552,0.128
90,770.000,4.875,2.407,3.230,3.865,4.908,7.370,12.501,19.750,42.100,0.205
95,794.400,4.457,2.415,3.066,3.445,4.417,6.788,11.481,17.321,33.583,0.224
100,809.000,4.597,2.372,3.061,3.464,4.668,7.276,11.851,19.225,54.404,0.218
105,769.400,4.990,2.345,3.076,3.515,5.120,9.247,13.115,20.609,47.090,0.200
110,781.400,4.947,2.391,3.082,3.476,4.704,7.747,12.846,22.422,733.316,0.202
115,641.200,9.677,2.375,3.058,3.422,4.805,8.159,13.069,97.809,1755.248,0.103
120,660.400,7.598,2.334,2.921,3.235,4.282,7.064,12.505,138.554,1054.850,0.132
125,833.200,4.255,2.322,2.945,3.263,4.220,6.540,10.682,16.935,40.787,0.235
130,790.200,4.378,2.286,3.021,3.377,4.426,6.531,10.602,16.503,42.421,0.228
135,805.800,4.312,2.377,2.974,3.354,4.375,6.177,10.930,16.157,47.448,0.232
140,782.800,4.600,2.219,3.103,3.592,4.679,6.801,11.194,19.998,34.669,0.217
145,766.400,4.621,2.400,3.148,3.611,4.720,6.737,11.166,20.224,39.556,0.216
150,597.600,10.290,2.477,3.365,4.242,5.977,9.647,14.190,209.690,1048.972,0.097
155,526.800,11.094,2.396,3.517,4.576,6.000,9.269,13.261,31.179,1308.391,0.090
160,763.600,5.138,2.465,3.361,3.926,5.295,8.126,12.588,19.570,61.181,0.195
165,767.000,4.917,2.393,3.302,3.746,5.006,7.795,12.196,19.132,45.325,0.203
170,781.200,4.783,2.424,3.219,3.693,4.861,6.900,12.136,20.858,81.712,0.209
175,566.200,12.381,2.399,3.212,3.726,4.834,7.557,13.046,217.502,1682.761,0.081
180,748.400,5.076,2.483,3.310,3.758,4.955,7.820,12.779,21.016,143.717,0.197
185,773.200,5.051,2.457,3.360,3.816,5.140,8.182,12.887,21.369,62.034,0.198
190,773.600,4.946,2.463,3.367,3.840,5.031,7.746,12.605,19.247,50.488,0.202
195,569.800,11.256,2.442,3.415,3.931,5.414,9.968,13.971,288.585,860.496,0.089
200,750.600,5.348,2.383,3.505,4.054,5.773,8.719,13.067,20.541,77.286,0.187
205,761.200,5.395,2.544,3.496,4.037,5.744,9.493,13.281,19.430,38.941,0.185
210,750.200,5.367,2.458,3.412,3.985,5.796,9.330,13.219,20.611,56.866,0.186
215,775.800,5.013,2.493,3.379,3.867,5.128,7.985,12.497,19.552,38.167,0.199
220,365.000,23.516,2.502,3.295,3.734,5.168,11.104,19.879,591.789,2221.182,0.043
225,793.400,4.660,2.428,3.143,3.517,4.716,7.508,11.946,19.643,38.227,0.215
230,790.200,4.581,2.349,3.079,3.453,4.558,7.271,12.091,19.788,42.144,0.218
235,797.000,4.521,2.361,3.048,3.395,4.427,6.860,12.538,19.619,36.723,0.221
240,785.400,4.782,2.414,3.158,3.557,4.717,7.487,12.692,22.186,45.093,0.209
245,610.400,10.436,2.412,3.008,3.376,4.309,7.076,13.236,231.160,1279.899,0.096
250,793.200,4.729,2.453,3.231,3.686,4.785,7.157,11.622,18.660,57.601,0.211
255,686.400,6.522,2.422,3.337,3.838,5.108,8.532,13.279,25.255,455.108,0.153
260,768.800,4.588,2.380,3.199,3.634,4.666,6.757,11.345,17.105,45.855,0.218
265,785.800,4.868,2.474,3.268,3.844,5.107,7.675,12.259,17.266,32.535,0.205
270,805.400,4.668,2.419,3.206,3.690,4.635,6.989,11.752,18.621,46.632,0.214
275,805.400,4.475,2.360,3.082,3.460,4.578,6.739,11.361,18.060,57.433,0.223
280,805.400,4.535,2.415,2.962,3.288,4.528,7.120,11.866,21.969,85.668,0.221
285,618.800,8.949,2.370,2.992,3.338,4.388,7.286,12.852,143.651,1084.762,0.112
290,809.400,4.488,2.349,3.063,3.410,4.462,7.027,11.807,18.050,37.059,0.223
